codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;Lat;Long;comune
IT-MI0676;Biblioteca della Federazione impiegati operai metallurgici - FIOM Milano - Archivio del lavoro;Federazione impiegati operai metallurgici - FIOM Milano;Via Breda 56;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,5316995;9,2289861;Milano
IT-MI0677;Biblioteca Centro di documentazione dell'Associazione industriale lombarda;Associazione industriale lombarda;Via Pantano 9;Accademie, associazioni, fondazioni, istituti, societa' (privati);NON SPECIFICATA;;;45,4599484;9,1914997;Milano
IT-MI0678;Biblioteca del Carcere giudiziario S. Vittore;Ministero della giustizia;Piazza Gaetano Filangieri 2;Presidenza del consiglio dei ministri e ministeri;Importante non specializzata;;True;45,4609671;9,1676181;Milano
IT-MI0680;Biblioteca della Federazione nazionale strutture assistenza pubblica;Federazione nazionale strutture assistenza pubblica;Via Olmetto 6;NON SPECIFICATA;NON SPECIFICATA;;;45,4598105;9,1855646;Milano
IT-MI0683;Biblioteca del Centro di iniziativa regionale ed europea - CIRE Mario Romani;;Corso Magenta 81;NON SPECIFICATA;NON SPECIFICATA;;;45,465815;9,167478;Milano
IT-MI0684;Biblioteca del Centro di studi storici sul movimento di liberazione della donna in Italia;Centro di studi storici sul movimento di liberazione della donna in Italia;Via Romagnosi 3;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;;45,4685594;9,1903265;Milano
IT-MI0685;Biblioteca del Centro informazioni e studi sulla Comunità Europea - CISMEC;;Via Donizetti 53;NON SPECIFICATA;NON SPECIFICATA;;;45,4665382;9,2046683;Milano
IT-MI0687;Biblioteca del Centro di cultura Giancarlo Puecher;;Via Pantano 17;NON SPECIFICATA;NON SPECIFICATA;;;45,4592308;9,192214;Milano
IT-MI0688;Biblioteca Centro di documentazione Il poliedro;Il poliedro. Istituto di ricerche;Piazza Velasca 5;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,4600615;9,1904146;Milano
IT-MI0689;Biblioteca del Centro di studi grafici;;Via S. Pellico 6;NON SPECIFICATA;NON SPECIFICATA;;;45,4655091;9,1892987;Milano
IT-MI0691;Biblioteca del Centro islamico di Milano e Lombardia;Centro islamico di Milano e Lombardia;Via Cassanese 3;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,4905613;9,261542;Milano
IT-MI0692;Biblioteca del Centro italiano smalti porcellanati - CISP;Centro italiano smalti porcellanati - CISP;Via Olona 41;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,5081147;9,0865778;Milano
IT-MI0693;Biblioteca del Centro italo-romeno di studi storici;;Via Olmetto 5;NON SPECIFICATA;NON SPECIFICATA;;;45,4597957;9,1855972;Milano
IT-MI0694;Biblioteca del Centro regionale di ricerca, documentazione, studi sulla donna Sibilla Aleramo;;Via Bagutta 12;NON SPECIFICATA;NON SPECIFICATA;;;45,4680264;9,1962517;Milano
IT-MI0698;Biblioteca Franco Fornari del Centro milanese di psicoanalisi Cesare Musatti;Centro milanese di psicoanalisi - CMP Cesare Musatti;Via Corridoni 38;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4636785;9,2046452;Milano
IT-MI0699;Biblioteca e Archivio del Centro studi libertari Giuseppe Pinelli;Centro studi libertari Giuseppe Pinelli;Via Rovetta 27;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,5006189;9,2245424;Milano
IT-MI0700;Biblioteca del Centro studi problemi internazionali - CeSPI;Centro studi problemi internazionali - CeSPI;Via Dante Alighieri 6;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;0,0;0,0;Milano
IT-MI0704;Biblioteca del Centro studi e documentazione della cultura armena;;Corso Gottardo 3;NON SPECIFICATA;NON SPECIFICATA;;;45,4517074;9,1801052;Milano
IT-MI0705;Biblioteca del Centro studi per la programmazione intercomunale dell'area metropolitana;Centro studi per la programmazione intercomunale dell'area metropolitana - PIM;Via Manin 2;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,4743719;9,1964201;Milano
IT-MI0706;Biblioteca del Collegio lombardo periti, esperti e consulenti tecnici;;Corso Vittorio Emanuele II 30;NON SPECIFICATA;NON SPECIFICATA;;;45,4656729;9,1962327;Milano
IT-MI0708;Biblioteca del Consolato generale del Messico a Milano;Consolato generale del Messico;Via Cappuccini 4;Istituzioni straniere;Specializzata;;True;45,4703203;9,2023902;Milano
IT-MI0709;Biblioteca del Convento S. Antonio di Padova;Frati minori OFM. Convento S. Antonio di Padova di Milano;Via Farini 10;Enti ecclesiastici;Specializzata;;;45,4845256;9,181856;Milano
IT-MI0710;Biblioteca del Gruppo archeologico milanese;Gruppo archeologico milanese;Via Bagutta 12;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;45,4680264;9,1962517;Milano
IT-MI0711;Biblioteca dell'Istituto Brasile-Italia - IBrIt;Istituto Brasile-Italia - IBrIt. Milano;Via Borgogna 3;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4658258;9,1984592;Milano
IT-MI0712;Biblioteca conte Nicola dal Verme;Patronato S. Vincenzo de' Paoli per i giovani lavoratori e studenti;Via B. Cellini 14;Enti ecclesiastici;Pubblica;;False;45,4638257;9,2088317;Milano
IT-MI0716;Biblioteca del Pontificio istituto ambrosiano di musica sacra - PIAMS;Pontificio istituto ambrosiano di musica sacra - PIAMS;Viale Gorizia 5;Enti ecclesiastici;Specializzata;;False;45,4544279;9,1735405;Milano
IT-MI0719;Biblioteca del Settore servizi sociali della Provincia di Milano;Provincia di Milano. Settore servizi sociali;Viale Piceno 60;Provincia;Specializzata;;False;45,4670495;9,2174753;Milano
IT-MI0721;Biblioteca dell'Associazione industrie siderurgiche italiane;;Piazza Velasca 8;NON SPECIFICATA;NON SPECIFICATA;;;45,4598048;9,1902365;Milano
IT-MI0723;Biblioteca dell'Associazione italiana tecnico economica del cemento - AITEC;Associazione italiana tecnico economica del cemento - AITEC;Viale Milano Fiori, strada 1 palazzo F/2;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,4049213;9,1304128;Milano
IT-MI0724;Biblioteca dell'Associazione Albe Steiner per la comunicazione visiva;Associazione Albe Steiner per la comunicazione visiva;Viale Elvezia 18;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;45,4769285;9,1773305;Milano
IT-MI0726;Biblioteca dell'Associazione italiana di illuminazione - AIDI;Associazione italiana di illuminazione - AIDI;Via Saccardo 9;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,4812353;9,2399736;Milano
IT-MI0727;Biblioteca dell'Associazione italiana per la promozione degli studi e delle ricerche per l'edilizia - AIRE;Associazione italiana per la promozione degli studi e delle ricerche per l'edilizia - AIRE;Via Beato Angelico 3;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,4709114;9,2249664;Milano
IT-MI0728;Biblioteca del Centro studi carusiani;Associazione Museo Enrico Caruso;Via R. Birolli 14;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;45,5007733;9,2044243;Milano
IT-MI0731;Biblioteca Centro documentazione mercato del lavoro dell'IRES Lombardia. IRES/CEDOM;;Via F. Filzi 33;NON SPECIFICATA;NON SPECIFICATA;;;45,4863383;9,2015464;Milano
IT-MI0735;Biblioteca dell'Istituto universitario di scienze motorie - IUSM;Istituto universitario di scienze motorie - IUSM;Via A. Corelli 136;Universita' statali;Istituto di insegnamento superiore;;False;45,4699482;9,2624084;Milano
IT-MI0736;Biblioteca dell'Istituto danese di cultura. Det danske selskab;;Via Dogana 2;NON SPECIFICATA;NON SPECIFICATA;;;45,4632852;9,1890529;Milano
IT-MI0737;Biblioteca Braille e Centro di documentazione tiflopedagogica;Istituto dei ciechi;Via Vivaio 7;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4693299;9,2039806;Milano
IT-MI0738;Biblioteca dell'Istituto di fisiologia dei centri nervosi del CNR;Consiglio nazionale delle ricerche. Istituto di fisiologia dei centri nervosi;Via M. Bianco 9;Aziende ed amministrazioni dello stato ad ordinamento autonomo;NON SPECIFICATA;;;45,4879378;9,2286823;Milano
IT-MI0740;Biblioteca dell'Istituto di studi per la transizione - ISTRA;;Via Brentano 2;NON SPECIFICATA;NON SPECIFICATA;;;45,4660722;9,1804747;Milano
IT-MI0741;Biblioteca della Fondazione culturale S. Fedele;Gesuiti. San Fedele edizioni;Piazza S. Fedele 4;Enti ecclesiastici;Specializzata;;True;45,4664433;9,191258;Milano
IT-MI0743;Biblioteca dell'Istituto per lo studio delle macromolecole del CNR;Consiglio nazionale delle ricerche - CNR;Via Bassini 15;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;False;45,4795742;9,2320401;Milano
IT-MI0744;Biblioteca dell'Istituto di ricerca sulla comunicazione A. Gemelli e C. Musatti;Istituto di ricerca sulla comunicazione A. Gemelli e C. Musatti;Viale Piceno 60;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4670495;9,2174753;Milano
IT-MI0745;Biblioteca dell'Istituto di studi e ricerche socio-culturali;Istituto di studi e ricerche socio-culturali;Via Correggio 36;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;45,4684413;9,1484006;Milano
IT-MI0746;Biblioteca dell'Istituto Ernesto De Martino per la conoscenza critica e la presenza alternativa del mondo popolare e del mondo proletario;;Via Melzo 9;NON SPECIFICATA;NON SPECIFICATA;;;45,4733515;9,2095127;Milano
IT-MI0748;Sala di lettura dell'Amministrazione delle Istituzioni pubbliche di assistenza e beneficenza - IPAB - Istituto geriatrico Piero Redaelli;Amministrazione delle Istituzioni pubbliche di assistenza e beneficenza - IPAB - Istituto geriatrico Piero Redaelli;Via Bartolomeo d'Alviano 78;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Pubblica;;True;45,4601521;9,1377076;Milano
IT-MI0749;Biblioteca Fondazione I.R.C.C.S. Istituto Neurologico Carlo Besta ;Istituto nazionale neurologico Carlo Besta;Via Celoria 11;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4769542;9,233322;Milano
IT-MI0750;Biblioteca del Presidio ospedaliero Macedonio Melloni;Presidio ospedaliero Macedonio Melloni. Azienda ospedaliera Fatebenefratelli e oftalmico;Via M. Melloni 52;Aziende ed enti del servizio sanitario nazionale;Specializzata;;True;45,4666617;9,2190719;Milano
IT-MI0751;Biblioteca dell'Istituto di studi transculturali;;Via Zuretti 50;NON SPECIFICATA;NON SPECIFICATA;;;45,494775;9,2091645;Milano
IT-MI0752;Biblioteca dell'Istituto europeo di design - IED;Istituto europeo di design - IED;Via A. Sciesa 4;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,4617161;9,2094707;Milano
IT-MI0753;Biblioteca dell'Istituto Ganassini di ricerche biochimiche;Istituto Ganassini di ricerche biochimiche spa;Via P. Gaggia 16;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,4378014;9,232425;Milano
IT-MI0754;Biblioteca dell'Istituto italo-cinese;Istituto italo-cinese per gli scambi economici e culturali;Via Carducci 18;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4646921;9,1749037;Milano
