codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;Lat;Long;comune
IT-MI1185;Biblioteca comunale;Comune di Cusago;Via Libertà 3;Comune;Pubblica;;False;45,4472564;9,0341234;Milano
IT-MI1186;Biblioteca comunale;Comune di Liscate;Via Viotti 3;Comune;Pubblica;;False;45,481149;9,4093011;Milano
IT-MI1187;Biblioteca comunale rionale Cassina Anna;Comune di Milano;Via S. Arnaldo 17;Comune;Importante non specializzata;;False;45,5254105;9,1771673;Milano
IT-MI1188;Biblioteca comunale rionale Fra Cristoforo;Comune di Milano;Via Fra Cristoforo 6;Comune;Importante non specializzata;;False;45,4353967;9,172338;Milano
IT-MI1189;Biblioteca comunale Parco di Monza;Comune di Monza;Villa Mirabello;Comune;Specializzata;;False;45,5445391;9,3500226;Milano
IT-MI1190;Biblioteca comunale Triante;Comune di Monza;Via Monte Amiata 60;Comune;Pubblica;;False;45,58244;9,2559551;Milano
IT-MI1191;Biblioteca parrocchiale don Luigi Negri;Arcidiocesi di Milano. Parrocchia di S. Stefano;Viale Rimembranze 28;Enti ecclesiastici;Pubblica;;False;45,3499751;9,0175182;Milano
IT-MI1192;Biblioteca della Fondazione laboratorio prove materie plastiche del Politecnico di Milano;Politecnico di Milano. Fondazione laboratorio prove materie plastiche;;Universita' statali;Istituto di insegnamento superiore;;;45,4775146;9,2267609;Milano
IT-MI1193;Centro di documentazione Omologie;Arcigay Centro di iniziativa gay;Via Bezzecca 3;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,4609721;9,2099848;Milano
IT-MI1195;Biblioteca Riccardo e Fernanda Pivano;Fondazione Benetton studi ricerche;Corso di Porta Vittoria 16;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4622311;9,1999369;Milano
IT-MI1196;Biblioteca della Fondazione Anna Kuliscioff;Fondazione Anna Kuliscioff;Via Vallazze 34;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4842276;9,2234955;Milano
IT-MI1197;Biblioteca biomedica dell'Azienda ospedaliera di Melegnano Ospedale Predabissi;Azienda ospedaliera di Melegnano;Via Pandina 1;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;True;45,3638173;9,3564465;Milano
IT-MI1199;Biblioteca dell'Azienda ospedaliera di Melegnano Ospedale Ambrogio Uboldo;Azienda ospedaliera di Melegnano;Via Uboldo;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;True;45,5233332;9,328535;Milano
IT-MI1205;Centro di formazione permanente della Fondazione Istituto Sacra Famiglia;Fondazione Istituto Sacra Famiglia ONLUS;Piazza monsignor L. Moneta 1;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,4495667;9,0936341;Milano
IT-MI1206;Biblioteca della Associazione BiblioLavoro;Fondazione regionale Pietro Seveso;Viale F. Testi 42;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,5303016;9,21449;Milano
IT-MI1210;Biblioteca medico scientifica della Fondazione don Carlo Gnocchi;Fondazione don Carlo Gnocchi ONLUS;Via Capecelatro 66;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,4716521;9,1292334;Milano
IT-MI1211;Biblioteca dell'Associazione nazionale alpini - ANA;Associazione nazionale alpini - ANA;Via Marsala 9;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;45,4789729;9,1868286;Milano
IT-MI1212;Biblioteca Centro di documentazione Mani Tese;Mani Tese;Piazzale Gambara 7/9;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,46453;9,1422023;Milano
IT-MI1213;Biblioteca dell'Esistere come donna;Associazione esistere come donna. Centro di studi storici sulla condizione femminile;Via Daverio 7;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4592045;9,2007575;Milano
IT-MI1214;Biblioteca Centro di documentazione Solidea;Centro di documentazione Solidea. Comitato di coordinamento degli organismi per il servizio volontario;Viale Monza 40;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,4919372;9,2185218;Milano
IT-MI1225;Biblioteca del Dipartimento di scienze e tecnologie veterinarie per la sicurezza alimentare. Settore di ispezione degli alimenti di origine animale dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di scienze e tecnologie veterinarie per la sicurezza alimentare;Via Celoria 10;Universita' statali;Istituto di insegnamento superiore;;False;45,4769001;9,22917;Milano
IT-MI1226;Biblioteca del Dipartimento di scienze e tecnologie veterinarie per la sicurezza alimentare. Settore alimentazione animale, farmacologia e tossicologia dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di scienze e tecnologie veterinarie per la sicurezza alimentare;Via Celoria 10;Universita' statali;Istituto di insegnamento superiore;;False;45,4769001;9,22917;Milano
IT-MI1227;Biblioteca dell'Istituto di clinica chirurgica e radiologia veterinaria della Facoltà di medicina veterinaria dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di medicina veterinaria. Istituto  di clinica chirurgica e radiologia veterinaria;Via Celoria 10;Universita' statali;Istituto di insegnamento superiore;;False;45,4769001;9,22917;Milano
IT-MI1228;Biblioteca dell'Information  resource center;Consolato generale degli Stati Uniti d'America;Via principe Amedeo 2/10;Istituzioni straniere;Specializzata;;True;45,4750557;9,1938847;Milano
IT-MI1229;Biblioteca regionale di statistica;Regione Lombardia. Giunta regionale. Direzione generale presidenza;Via F. Filzi 22;Regione;Specializzata;;True;45,4848177;9,2006065;Milano
IT-MI1230;Biblioteca del Dipartimento giuridico-politico dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento giuridico-politico;Via Passione 13;Universita' statali;Istituto di insegnamento superiore;;False;45,465104;9,2024347;Milano
IT-MI1231;Biblioteca del Dipartimento di diritto pubblico italiano e sovranazionale - sezione di Diritto internazionale  dell'Università degli studi di Milano ;Università degli studi di Milano. Dipartimento di diritto pubblico italiano e sovranazionale;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1232;Biblioteca dell'Istituto di diritto commerciale della Facoltà di giurisprudenza dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di giurisprudenza. Istituto di diritto commerciale;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1233;Biblioteca dell'Istituto di diritto civile della Facoltà di giurisprudenza dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di giurisprudenza. Istituto di diritto civile;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1234;Biblioteca del Dipartimento di filologia moderna dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di filologia moderna;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1235;Biblioteca del Polo di lingue e letterature straniere - sezione di Lingua e e letteratura francese e dei paesi francofoni dell'Università degli studi di Milano;Università degli studi di Milano. Polo di lingue e letterature straniere;Piazza S. Alessandro 1;Universita' statali;Istituto di insegnamento superiore;;False;45,461153;9,1864033;Milano
IT-MI1236;Biblioteca del Polo di lingue e letterature straniere - Sezione di lingue e letterature iberiche e ibero-americane dell'Università degli studi di Milano ;Università degli studi di Milano. Polo di lingue e letterature straniere - Sezione di lingue e letterature iberiche e ibero-americane dell'Università degli studi di Milano;Piazza S. Alessandro 1;Universita' statali;Istituto di insegnamento superiore;;False;45,461153;9,1864033;Milano
IT-MI1237;Biblioteca del Polo di lingue e letterature straniere - sezione di Anglistica e di Comparatistica dell'Università degli studi di Milano;Università degli studi di Milano. Polo di lingue e letterature straniere;Piazza S. Alessandro 1;Universita' statali;Istituto di insegnamento superiore;;False;45,461153;9,1864033;Milano
IT-MI1240;Biblioteca del Dipartimento di studi del lavoro dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di studi del lavoro;Via Livorno 1;Universita' statali;Istituto di insegnamento superiore;;False;45,4657494;9,2038553;Milano
IT-MI1242;Biblioteca del Dipartimento di storia delle arti, della musica e dello spettacolo. Sezione discipline musicologiche e dello spettacolo dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di storia delle arti, della musica e dello spettacolo;Via Noto 6;Universita' statali;Istituto di insegnamento superiore;;False;45,4312808;9,2010151;Milano
IT-MI1243;Biblioteca del polo di lingue e letterature straniere - Sezione di Germanistica dell'Università degli studi di Milano;Università degli studi di Milano. Polo di lingue e letterature straniere;Piazza S. Alessandro 1;Universita' statali;Istituto di insegnamento superiore;;False;45,461153;9,1864033;Milano
IT-MI1244;Biblioteca dell'Istituto di storia del diritto medievale e moderno della Facoltà di giurisprudenza dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di giurisprudenza. Istituto di storia del diritto medievale e moderno;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1245;Biblioteca dell'Istituto di scienze economiche e statistiche della Facoltà di giurisprudenza dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di giurisprudenza. Istituto di scienze economiche;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1246;Biblioteca del Dipartimento di diritto pubblico italiano e sovranazionale - sezione di Diritto pubblico dell'Università degli studi di Milano ;Università degli studi di Milano. Dipartimento di diritto pubblico italiano e sovranazionale;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1247;Biblioteca del Dipartimento di diritto pubblico italiano e sovranazionale - sezione di Diritto processuale civile dell'Università degli studi di Milano ;Università degli studi di Milano. Dipartimento di diritto pubblico italiano e sovranazionale;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1248;Biblioteca dell'Istituto di diritto romano della Facoltà di giurisprudenza dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di giurisprudenza. Istituto di diritto romano;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1249;Biblioteca di scienze politiche Enrica Collotti Pischel - sezione di Studi internazionali dell'Università degli studi di Milano  Biblioteca di scienze politiche Enrica Collotti Pischel dell'Universit;Università degli studi di Milano. Dipartimento di studi internazionali;Via Conservatorio 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4657929;9,2027552;Milano
IT-MI1250;Biblioteca dell'Istituto di filosofia e sociologia del diritto della Facoltà di giurisprudenza dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di giurisprudenza. Istituto di filosofia e sociologia del diritto;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1251;Biblioteca dell'Istituto di diritto del lavoro della Facoltà di giurisprudenza dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di giurisprudenza. Istituto di diritto del lavoro;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1252;Biblioteca del Dipartimento di geografia e scienze umane dell'ambiente dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di geografia e scienze umane dell'ambiente;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1254;Biblioteca del Dipartimento di scienze della terra Ardito Desio. Sezione di geofisica dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di scienze della terra Ardito Desio;Via L. Cicognara 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4687353;9,2214061;Milano
IT-MI1255;Biblioteca del Dipartimento di scienze della terra Ardito Desio. Sezione di mineralogia, petrografia, geochimica e giacimenti minerari dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di scienze della terra Ardito Desio;Via Botticelli 23;Universita' statali;Istituto di insegnamento superiore;;False;45,4734734;9,2285531;Milano
IT-MI1256;Biblioteca di Scienze dell'antichità e filologia moderna;Università degli studi di Milano;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1257;Biblioteca del Dipartimento di scienze economiche, aziendali e statistiche ;Università degli studi di Milano. Dipartimento di economia politica e aziendale;Via Conservatorio 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4657929;9,2027552;Milano
IT-MI1258;Biblioteca del Polo di mediazione interculturale e comunicazione di Sesto San Giovanni dell'Università degli studi di Milano;Università degli studi di Milano;Piazza Montanelli 11;Universita' statali;Istituto di insegnamento superiore;;False;45,5341032;9,2471858;Milano
IT-MI1259;Centro di documentazione del Dipartimento di studi sociali e politici dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di studi sociali e politici;Via Conservatorio 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4657929;9,2027552;Milano
IT-MI1260;Biblioteca del Dipartimento di storia della società e delle istituzioni dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di storia della società e delle istituzioni;Via Livorno 1;Universita' statali;Istituto di insegnamento superiore;;False;45,4657494;9,2038553;Milano
IT-MI1261;Biblioteca di filosofia dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di filosofia;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1262;Biblioteca di Scienze della storia e della documentazione storica dell'Università degli studi di Milano;Università degli studi di Milano;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1263;Biblioteca scientifica dell'Azienda ospedaliera G. Salvini. Presidio ospedaliero di Rho;Azienda sanitaria locale - ASL;Corso Europa 250;Aziende ed enti del servizio sanitario nazionale;Specializzata;;True;45,5331224;9,0345892;Milano
IT-MI1264;Biblioteca del Polo San Paolo della Facoltà di medicina e chirurgia dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di medicina e chirurgia;Via A. Di Rudinì 8;Universita' statali;Istituto di insegnamento superiore;;False;45,4332433;9,1582236;Milano
IT-MI1265;Biblioteca del Polo San Paolo. Sezione odontoiatria della Facoltà di medicina e chirurgia dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di medicina e chirurgia. Polo S. Paolo;Via Beldiletto 1/3;Universita' statali;Istituto di insegnamento superiore;;False;45,4368925;9,1627271;Milano
IT-MI1266;Archivio di Stato di Milano;Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Milano;Via Senato, 10;Direzione generale Archivi;NON SPECIFICATA;;;45,4700534;9,1979113;Milano
IT-MI1267;Prestito Libri Centro Universitario ;Regione Lombardia. Istituto per il diritto allo studio universitario - ISU;Via Valvassori Peroni 21;Regione;Specializzata;;True;45,4772843;9,2366152;Milano
IT-MI1268;Prestito Libri Santa Sofia ;Regione Lombardia. Istituto per il diritto allo studio universitario - ISU;Via S. Sofia 7/9;Regione;Specializzata;;;45,4572365;9,1919083;Milano
IT-MI1269;Mediateca Centro universitario ;Regione Lombardia. Istituto per il diritto allo studio universitario;Via Valvassori Peroni 21;Regione;Specializzata;;;45,4772843;9,2366152;Milano
IT-MI1270;Prestito libri Bicocca ;;;NON SPECIFICATA;NON SPECIFICATA;;;45,5158348;9,213171;Milano
IT-MI1271;Biblioteca del Polo di lingue e letterature straniere dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di scienze del linguaggio e letterature straniere comparate;Piazza S. Alessandro 1;Universita' statali;NON SPECIFICATA;;;45,461153;9,1864033;Milano
IT-MI1272;Biblioteche del Dipartimento di studi linguistici, letterari e filologici (Europa centro-settentrionale e orientale) dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di studi linguistici, letterari e filologici (Europa centro-settentrionale e orientale);Piazza S. Alessandro 1;Universita' statali;NON SPECIFICATA;;;45,461153;9,1864033;Milano
IT-MI1273;Biblioteche del Dipartimento di storia delle arti, della musica e dello spettacolo dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di storia delle arti, della musica e dello spettacolo;Via Noto 6;Universita' statali;NON SPECIFICATA;;;45,4312808;9,2010151;Milano
IT-MI1274;Biblioteca del Dipartimento di patologia animale, igiene e sanità pubblica veterinaria dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di patologia animale, igiene e sanità pubblica veterinaria;Via Celoria 10;Universita' statali;Istituto di insegnamento superiore;;False;45,4769001;9,22917;Milano
IT-MI1276;Biblioteca del Dipartimento di scienze chirurgiche dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di scienze chirurgiche;Via F. Sforza 35;Universita' statali;Istituto di insegnamento superiore;;False;45,4591996;9,1950329;Milano
IT-MI1277;Biblioteca del Dipartimento di scienze chirurgiche specialistiche - Sez. otorinolaringologia e oftalmologia - Università degli studi di Milano;Università degli studi di Milano. Dipartimento di scienze chirurgiche specialistiche - Sez. otorinolaringologia e oftalmologia;Via F. Sforza 35;Universita' statali;Istituto di insegnamento superiore;;False;45,4591996;9,1950329;Milano
IT-MI1278;Biblioteca del Dipartimento di scienze e tecnologie veterinarie per la sicurezza alimentare dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di scienze e tecnologie veterinarie per la sicurezza alimentare;Via Celoria 10;Universita' statali;Istituto di insegnamento superiore;;False;45,4769001;9,22917;Milano
IT-MI1280;Divisione coordinamento biblioteche dell'Università degli studi di Milano;Università degli studi di Milano;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;;45,4603257;9,1937983;Milano
IT-MI1282;Archivio della Chiesa di S. Marco;;Piazza S. Marco 2;NON SPECIFICATA;NON SPECIFICATA;;;45,4733465;9,1880278;Milano
IT-MI1283;Archivio del Teatro dei Filodrammatici;;Via Filodrammatici 1;NON SPECIFICATA;NON SPECIFICATA;;;45,4673046;9,1886113;Milano
IT-MI1284;Biblioteca privata Treccani degli Alfieri;;;NON SPECIFICATA;NON SPECIFICATA;;;45,4636889;9,1881408;Milano
IT-MI1285;Biblioteca privata Massimo Gentili-Tedeschi;;Via Giovanni Battista Morgagni 37;Privati - Famiglie;Specializzata;False;False;45,4800118;9,21353599999998;Milano
IT-MI1286;Biblioteca dell'Istituto Cattaneo;;;NON SPECIFICATA;NON SPECIFICATA;;;45,4636889;9,1881408;Milano
IT-MI1287;Biblioteca del Dipartimento di scienze cliniche veterinarie dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di scienze cliniche;Via Celoria 10;Universita' statali;Istituto di insegnamento superiore;;False;45,4769001;9,22917;Milano
IT-MI1288;Biblioteca nazionale Braidense. Mediateca di Santa Teresa;Ministero dei beni e delle attività culturali e del turismo. Biblioteca nazionale Braidense;Via Moscova 28;Direzione Generale Biblioteche e Istituti Culturali;Importante non specializzata;;False;45,4766781;9,1901732;Milano
IT-MI1289;Biblioteca del Centro APICE - Archivi della parola, dell'immagine e della comunicazione editoriale dell'Università degli studi di Milano;Università degli studi di Milano;Via Noto 6;Universita' statali;Istituto di insegnamento superiore;;False;45,4312808;9,2010151;Milano
IT-MI1290;Biblioteca ragazzi Al segno della luna;Comune di Monza;Piazza Trento e Trieste 6;Comune;Specializzata;;False;45,5838894;9,2733787;Milano
IT-MI1291;Biblioteca comunale rionale Zara;Comune di Milano;Viale Zara 100;Comune;Pubblica;;False;45,4975776;9,1960007;Milano
IT-MI1292;Biblioteca della Fondazione Abbatia Sancte Marie de Morimundo;Fondazione Abbatia Sancte Marie de Morimundo;Piazza Municipio 6;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,352221;8,9544686;Milano
IT-MI1293;Biblioteca comunale;Comune di Tribiano;Via della Liberazione 64;Comune;Pubblica;;False;45,4144439;9,3781379;Milano
IT-MI1294;Archivio musicale Fondazione Teatro alla Scala;Fondazione Teatro alla Scala;Via Filodrammatici, 2;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4670953268329;9,18915262906955;Milano
IT-MI1295;Biblioteca dell'Istituto europeo Marcello Candia;Istituto europeo Marcello Candia;Via Torricelli 37;Accademie, associazioni, fondazioni, istituti, societa' (privati);Pubblica;;True;0,0;0,0;Milano
IT-MI1296;Biblioteca d'Ateneo. Sede di medicina dell'Università degli studi di Milano-Bicocca;Università degli studi di Milano-Bicocca. Facoltà di medicina;Via Cadore 48;Universita' statali;Istituto di insegnamento superiore;;False;45,6041985;9,2575625;Milano
IT-MI1297;Biblioteca d'Ateneo. Sede di scienze dell'Università degli studi di Milano-Bicocca;Università degli studi di Milano-Bicocca;Piazza della Scienza 3;Universita' statali;Istituto di insegnamento superiore;;False;45,5136301;9,2114137;Milano
IT-MI1298;Biblioteca del Dipartimento di Architettura, Ingegneria delle Costruzioni e Ambiente Costruito (DABC) del Politecnico di Milano;Politecnico di Milano. Dipartimento di Architettura, Ingegneria delle Costruzioni e Ambiente Costruito;;Universita' statali;Istituto di insegnamento superiore;True;True;45,479379;9,2283521;Milano
IT-MI1299;Centro di documentazione dell'Istituto di pubblica amministrazione e sanità - IPAS e del Centro di ricerche sulla gestione dell'assistenza sanitaria e sociale - CERGAS dell'Università commerciale Luigi Bocconi;Università commerciale Luigi Bocconi. Centro di documentazione dell'Istituto di pubblica amministrazione e sanità - IPAS e del Centro di ricerche sulla gestione dell'assistenza sanitaria e sociale - CERGAS;Viale Isonzo 23;Universita' non statali;Istituto di insegnamento superiore;;False;45,4465351;9,2016998;Milano
IT-MI1300;Biblioteca dell'Istituto di diritto internazionale. Sezione di diritto ecclesiastico e diritto canonico della Facoltà di giurisprudenza dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di giurisprudenza. Istituto di diritto ecclesiastico e diritto canonico;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1301;Biblioteca Educattiva Franti;Associazione culturale La libreria che non c'è;Via S. Bernardino 12;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,5886013;8,9121804;Milano
IT-MI1302;Mediateca del Centro di documentazione dell'architettura e del territorio - CEDAT. Campus Bovisa del Politecnico di Milano;Politecnico di Milano. Centro di documentazione dell'architettura e del territorio - CEDAT;;Universita' statali;Istituto di insegnamento superiore;;False;45,5043035;9,1640973;Milano
IT-MI1303;Biblioteca Liliana Grassi del Dipartimento di architettura e pianificazione del Politecnico di Milano;Politecnico di Milano. Dipartimento di architettura e pianificazione;;Universita' statali;Istituto di insegnamento superiore;;;45,4822542;9,2193314;Milano
IT-MI1304;POLIteca del Dipartimento del Design del Politecnico di Milano;Politecnico di Milano. Dipartimento Design;;Universita' statali;Istituto di insegnamento superiore;;;45,5043035;9,1640973;Milano
IT-MI1305;Biblioteca del Dipartimento di produzione vegetale - DiProVe. Sezione di fisiologia delle piante coltivate e chimica agraria dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di produzione vegetale - DiProVe;Via Celoria 2;Universita' statali;Istituto di insegnamento superiore;;False;45,4768749;9,2268546;Milano
IT-MI1306;Biblioteca Pharmacia and Upjohn;Pharmacia Italia - Gruppo Pfizer Italia;Viale Pasteur 10;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,5475619;8,9886513;Milano
IT-MI1308;Collezione privata Garavaglia;;;NON SPECIFICATA;NON SPECIFICATA;;;45,4636889;9,1881408;Milano
IT-MI1311;Archivio delle tesi di dottorato dell'Università degli studi di Milano;Università degli studi di Milano;Via Festa del Perdono 7;NON SPECIFICATA;NON SPECIFICATA;;;45,4603257;9,1937983;Milano
IT-MI1314;Biblioteca di filosofia dell'Università Vita-Salute San Raffaele;Università Vita-Salute San Raffaele;Via Borromeo;NON SPECIFICATA;NON SPECIFICATA;;;45,630333;9,145944;Milano
IT-MI1315;Biblioteca delle Fondazione Humaniter;Fondazione Humaniter;Via F. Daverio 7;NON SPECIFICATA;NON SPECIFICATA;;;45,4592045;9,2007575;Milano
IT-MI1316;Mediateca di Milano Scuola di cinema, televisione;Scuole Civiche di Milano - Fondazione di partecipazione S.d.p.;Viale Fulvio Testi 121;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,5147164312005;9,20587444439707;Milano
IT-MI1317;Mediateca di Milano Lingue ;Scuole Civiche di Milano - Fondazione di partecipazione S.d.p.;Via A. Visconti 18;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;45,473921;9,114282;Milano
IT-MI1319;Biblioteca di Scienze dell'antichità e filologia moderna dell'Università degli studi di Milano;Università degli studi di Milano;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1320;Archivio Piero Bottoni del Politecnico di Milano;Politecnico di Milano. Dipartimento di Architettuira e Studi Urbani;Via Durando 38/a;Universita' statali;NON SPECIFICATA;;True;45,5064253;9,1632853;Milano
IT-MI1321;Biblioteca della Fondazione Guido Lodovico Luzzatto;Fondazione Guido Lodovico Luzzatto;Via Canova 7;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,4745696;9,1690964;Milano
IT-MI1322;Biblioteche delle Scuole civiche paritarie di Milano;;Via Rubattino 6;NON SPECIFICATA;NON SPECIFICATA;;;45,4785098;9,2567335;Milano
IT-MI1325;Biblioteca di scienze dell'antichità e filologia moderna. Sezione di egittologia dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di scienze dell'antichità e Dipartimento di filologia moderna;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1327;MUST - Museo del territorio del Vimercatese;Comune di Vimercate;Vittorio Emanuele 53;Comune;NON SPECIFICATA;;;45,6120238;9,3703251;Milano
IT-MI1328;Biblioteca Scuola elementare don Milani;Comune di Vimercate;Via Mascagni;Comune;NON SPECIFICATA;;True;45,6220236;9,3745161;Milano
IT-MI1329;Biblioteca della Fondazione Memoria della deportazione;Fondazione Memoria della Deportazione Biblioteca Archivio Pina e Aldo Ravelli – Centro Studi e Documentazione sulla Resistenza e sulla Deportazione nei lager nazisti ONLUS;Via Dogana 3;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,4632678;9,1888704;Milano
IT-MI1330;Sistema Bibliotecario Vimercatese;;Piazza Unità d'Italia, 1/G;NON SPECIFICATA;NON SPECIFICATA;;;45,6137983;9,3700186;Milano
IT-MI1332;Design library;Design library;Via Savona 11;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;True;False;45,4555364;9,168591;Milano
IT-MI1333;Biblioteca gestionale ex DIIAR del Politecnico di Milano;Politecnico di Milano Dipartimento di ingegneria idraulica, ambientale, infrastrutture viarie e rilevamento;;Universita' statali;Istituto di insegnamento superiore;;;45,476762;9,2264274;Milano
IT-MI1334;Biblioteca del Dipartimento di diritto privato e storia del diritto dell'Università degli studi di Milano;;Via Festa del Perdono, 7;NON SPECIFICATA;NON SPECIFICATA;;;45,4603257;9,1937983;Milano
IT-MI1335;Biblioteca del Dipartimento di diritto pubblico italiano e sovranazionale dell'Università degli studi di Milano;Università degli studi di Milano - Dipartimento di diritto pubblico italiano e sovranazionale;Via Festa del Perdono, 7;Universita' statali;Istituto di insegnamento superiore;;;45,4603257;9,1937983;Milano
IT-MI1336;Biblioteca del Dipartimento di economia, diritto del lavoro e diritto tributario dell'Università degli studi di Milano;;Via Festa del Perdono, 7;NON SPECIFICATA;NON SPECIFICATA;;;45,4603257;9,1937983;Milano
IT-MI1337;Biblioteca del Dipartimento di scienze giuridiche ecclesiasticistiche, filosofico-sociologiche e penalistiche Cesare Beccaria dell'Università degli studi di Milano;;Via Festa del Perdono, 7;NON SPECIFICATA;NON SPECIFICATA;;;45,4603257;9,1937983;Milano
