route_id;route_type;stop_id;stop_name;stop_desc;Lat;Long;zone_id;stop_url;location_type;parent_station;wheelchair_boarding;IDquartiere;SEZ2011;stopCode
B40;3;10480;via mambretti;;45.5093064216955;9.132038475105631;;;;;2.0;76;151460005224;10480_B40
T1;0;10474;l.go boccioni;;45.511569372954206;9.128272513303902;;;;;2.0;76;151460005213;10474_T1
T12;0;10474;l.go boccioni;;45.511569372954206;9.128272513303902;;;;;2.0;76;151460005213;10474_T12
T1;0;10472;via grassi;;45.513808346070796;9.125705507984039;;;;;2.0;76;151460005204;10472_T1
T12;0;10472;via grassi;;45.513808346070796;9.125705507984039;;;;;2.0;76;151460005204;10472_T12
T1;0;10471;via grassi;;45.5138023481848;9.125553522148868;;;;;2.0;76;151460005204;10471_T1
T12;0;10471;via grassi;;45.5138023481848;9.125553522148868;;;;;2.0;76;151460005204;10471_T12
T1;0;10473;l.go boccioni;;45.51159238091479;9.12805852429265;;;;;2.0;76;151460005213;10473_T1
T12;0;10473;l.go boccioni;;45.51159238091479;9.12805852429265;;;;;2.0;76;151460005213;10473_T12
T1;0;10481;via palizzi via mambretti;;45.50838784070971;9.13521024298278;;;;;2.0;76;151460005228;10481_T1
T12;0;10481;via palizzi via mambretti;;45.50838784070971;9.13521024298278;;;;;2.0;76;151460005228;10481_T12
B40;3;10481;via palizzi via mambretti;;45.50838784070971;9.13521024298278;;;;;2.0;76;151460005228;10481_B40
T1;0;10725;certosa s;;45.507802464068;9.13722344127792;;;;;2.0;76;151460005227;10725_T1
T12;0;10725;certosa s;;45.507802464068;9.13722344127792;;;;;2.0;76;151460005227;10725_T12
T1;0;10703;v.le espinasse via palizzi;;45.502806518222506;9.13868843612033;;;;;2.0;71;151460005304;10703_T1
T12;0;10703;v.le espinasse via palizzi;;45.502806518222506;9.13868843612033;;;;;2.0;71;151460005304;10703_T12
T1;0;10701;p.le santorre di santarosa;;45.500939548035895;9.13953638340741;;;;;2.0;71;151460004910;10701_T1
T12;0;10701;p.le santorre di santarosa;;45.500939548035895;9.13953638340741;;;;;2.0;71;151460004910;10701_T12
T19;0;10701;p.le santorre di santarosa;;45.500939548035895;9.13953638340741;;;;;2.0;71;151460004910;10701_T19
T1;0;10708;v.le espinasse via nuvolone;;45.498007593506;9.14157839367364;;;;;2.0;71;151460004897;10708_T1
T1;0;10682;v.le espinasse via casella;;45.4954306156009;9.143379408761641;;;;;2.0;71;151460004881;10682_T1
