,codici-identificativi.isil,denominazioni.ufficiale,ente,indirizzo.coordinate,indirizzo.via-piazza,tipologia-amministrativa,tipologia-funzionale,accesso.portatori-handicap,accesso.riservato
5538,IT-FI0191,Biblioteca comunale,Comune di San Casciano in Val di Pesa,"[43.6570216, 11.1856291]",Via Machiavelli 1,Comune,Pubblica,,False
5539,IT-FI0192,Biblioteca emeroteca internazionale dell'Associazione culturale Testimonianze,Associazione culturale Testimonianze,"[43.8035342, 11.2800587]",Via dei Roccettini 11,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
5540,IT-FI0193,Biblioteca della Scuola di musica,Centro di ricerca e di sperimentazione per la didattica musicale,"[43.7991721, 11.2939464]",Via delle Fontanelle 24,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
5541,IT-FI0194,Biblioteca del Centro studi della Badia fiesolana,Scolopi. Centro studi della Badia fiesolana in San Domenico di Fiesole,"[43.8032117, 11.2831078]",Via dei Roccettini 9,Enti ecclesiastici,Pubblica,,False
5542,IT-FI0196,Biblioteca comunale,Comune di Campi Bisenzio,"[43.8220584, 11.1356182]",Via Matteotti 23,Comune,Importante non specializzata,,False
5543,IT-FI0197,Biblioteca Gianni Rodari,Comune di Campi Bisenzio,"[43.8276393, 11.1323999]",Via F. Garcia Lorca 1,Comune,Specializzata,,False
5544,IT-FI0199,Biblioteca del Convento di S. Lucia alla Castellina,Carmelitani. Convento S. Lucia alla Castellina di Sesto Fiorentino,"[43.8268231, 11.2283446]",Via del Bronzino 9,Enti ecclesiastici,Specializzata,,True
5545,IT-FI0200,Biblioteca del Centro culturale per la Resistenza di Monte Morello,,"[43.8645976, 11.2250943]",Via Gualdo 2,"Accademie, associazioni, fondazioni, istituti (pubblici)",NON SPECIFICATA,,
5546,IT-FI0202,Biblioteca comunale Boncompagno da Signa,Comune di Signa,"[43.7816195, 11.0952357]",Via Degli Alberti 11,Comune,Pubblica,,False
5547,IT-FI0203,Biblioteca comunale,Comune di Gambassi Terme,"[43.538994, 10.9535491]",Via Garibaldi 7,Comune,Pubblica,,False
5548,IT-FI0204,Biblioteca comunale,Comune di Greve in Chianti,"[43.5829586, 11.3198937]","Viale Vanghetti, 4",Comune,Pubblica,,False
5549,IT-FI0206,Biblioteca comunale,Comune di Dicomano,"[43.8911001, 11.5242394]",Piazza Repubblica 3,Comune,Pubblica,,False
5550,IT-FI0208,Biblioteca di Scienze sociali. Giurisprudenza dell'Università degli studi di Firenze,Università degli studi di Firenze,"[43.793776, 11.231991]",Via delle Pandette 2,Universita' statali,NON SPECIFICATA,,
5551,IT-FI0209,Biblioteca di scienze sociali. Scienze politiche dell'Università degli studi di Firenze,Università degli studi di Firenze,"[43.792695, 11.2306268]",Via delle Pandette 2,Universita' statali,NON SPECIFICATA,,
5552,IT-FI0210,Biblioteca di Scienze sociali. Economia dell'Università degli studi di Firenze,Università degli studi di Firenze,"[43.793776, 11.231991]",Via delle Pandette 2,Universita' statali,NON SPECIFICATA,,
5553,IT-FI0211,Biblioteca Umanistica - Lettere  - Università degli studi di Firenze,Università degli studi di Firenze,"[43.7745492, 11.2599716]",Piazza Brunelleschi 4,Universita' statali,Istituto di insegnamento superiore,,False
5554,IT-FI0212,Biblioteca Umanistica - Geografia - Università degli studi di Firenze,Università degli studi di Firenze,"[43.7775904, 11.2565184]",Via S. Gallo 10,Universita' statali,Istituto di insegnamento superiore,,False
5555,IT-FI0213,Biblioteca Umanistica - Scienze della formazione - Università degli studi di Firenze,Università degli studi di Firenze,"[43.7707333, 11.2497293]","Via Laura, 48",Universita' statali,Istituto di insegnamento superiore,,False
5556,IT-FI0214,Biblioteca Umanistica - Nordamericana - Università degli studi di Firenze,Università degli studi di Firenze,"[43.7775904, 11.2565184]",Via S. Gallo 10,Universita' statali,Istituto di insegnamento superiore,,False
5557,IT-FI0215,Biblioteca Biomedica - Università degli studi di Firenze,Università degli studi di Firenze,"[43.803916, 11.2465316]",Largo Brambilla 3,Universita' statali,Istituto di insegnamento superiore,True,False
5558,IT-FI0216,Biblioteca del Dipartimento di scienze biochimiche dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di scienze biochimiche,"[43.8000174, 11.244246]",Viale G.B. Morgagni 50,Universita' statali,Istituto di insegnamento superiore,,
5559,IT-FI0217,Biblioteca dell'Istituto di clinica chirurgica generale e discipline chirurgiche della Facoltà di medicina e chirurgia dell'Università di Firenze,Università degli studi di Firenze. Facoltà di medicina e chirurgia. Istituto di clinica chirurgica generale e discipline chirurgiche,"[43.8000174, 11.244246]",Viale G.B. Morgagni 85,Universita' statali,Istituto di insegnamento superiore,,
5560,IT-FI0218,Biblioteca del Dipartimento di scienze neurologiche e psichiatriche dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di scienze neurologiche e psichiatriche,"[43.8000174, 11.244246]",Viale G.B. Morgagni 85,Universita' statali,Istituto di insegnamento superiore,,
5561,IT-FI0219,Biblioteca dell'Istituto di odonto-gnato-stomatologia della Facoltà di medicina e chirurgia dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di medicina e chirurgia. Istituto di odonto-gnato-stomatologia,"[43.8000174, 11.244246]",Viale G.B. Morgagni 85,Universita' statali,Istituto di insegnamento superiore,,
5562,IT-FI0220,Biblioteca dell'Istituto di clinica ortopedica e traumatologica  della Facoltà di medicina e chirurgia dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di medicina e chirurgia. Istituto di clinica ortopedica e traumatologica,"[43.8028768, 11.2474969]",Largo Palagi 1,Universita' statali,Istituto di insegnamento superiore,,
5563,IT-FI0221,Biblioteca dell'Istituto policattedra di ginecologia e ostetricia della Facoltà di medicina e chirurgia dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di medicina e chirurgia. Istituto policattedra di ginecologia e ostetricia,"[43.8000174, 11.244246]",Viale G.B. Morgagni 85,Universita' statali,Istituto di insegnamento superiore,,
5564,IT-FI0222,Biblioteca dell'Istituto di gerontologia e geriatria e di clinica urologica. Sezione di urologia della Facoltà di medicina e chirurgia dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di medicina e chirurgia. Istituto di gerontologia e geriatria e di clinica urologica,"[43.8075701, 11.25034]",Viale G. Pieraccini 18,Universita' statali,Istituto di insegnamento superiore,,
5565,IT-FI0224,Biblioteca di scienze - Antropologia - Università degli studi di Firenze,Università degli studi di Firenze,"[43.771733273655, 11.2579286349182]",Via del Proconsolo 12,Universita' statali,Istituto di insegnamento superiore,True,False
5566,IT-FI0225,Biblioteca di scienze - Botanica - Università degli studi di Firenze,Università degli studi di Firenze,"[43.7782839, 11.2597306]",Via G. La Pira 4,Universita' statali,Istituto di insegnamento superiore,True,False
5567,IT-FI0226,Biblioteca di scienze. Polo scientifico. Chimica dell'Università degli studi di Firenze,Università degli studi di Firenze,"[43.8607386, 10.7479089]",Via G. Bernardini 6,Universita' statali,Istituto di insegnamento superiore,,
5568,IT-FI0227,Biblioteca di scienze - Geomineralogia - Università degli studi di Firenze,Università degli studi di Firenze,"[43.7782839, 11.2597306]",Via G. La Pira 4,Universita' statali,Istituto di insegnamento superiore,,False
5569,IT-FI0228,Biblioteca di scienze - Matematica - Università degli studi di Firenze,Università degli studi di Firenze,"[43.8029833, 11.2451184]",Viale G.B. Morgagni 67/A,Universita' statali,Istituto di insegnamento superiore,True,False
5570,IT-FI0229,Biblioteca Biomedica - Farmacia - Università degli studi di Firenze. ,Università degli studi di Firenze,"[43.8000174, 11.244246]",Viale G.B. Morgagni 44,Universita' statali,Istituto di insegnamento superiore,,
5571,IT-FI0230,Biblioteca di scienze tecnologiche - Ingegneria - Università degli studi di Firenze,Università degli studi di Firenze,"[43.7985075, 11.252963]",Via di S. Marta 3,Universita' statali,Istituto di insegnamento superiore,True,False
5572,IT-FI0231,Biblioteca di scienze tecnologiche - Architettura - Università degli studi di Firenze,Università degli studi di Firenze,"[43.7786195, 11.2632568]",Via Pier Antonio Micheli 2,Universita' statali,Istituto di insegnamento superiore,True,False
5573,IT-FI0232,Biblioteca di scienze tecnologiche - Dipartimento di urbanistica e pianificazione del territorio e Centro di documentazione cartografica dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di urbanistica e pianificazione del territorio e Centro di documentazione cartografica,"[43.7786195, 11.2632568]",,Universita' statali,Istituto di insegnamento superiore,,
5574,IT-FI0233,Biblioteca di scienze tecnologiche - Agraria - Università degli studi di Firenze,Università degli studi di Firenze,"[43.7825006, 11.21944]",Piazzale delle Cascine 18,Universita' statali,Istituto di insegnamento superiore,,False
5575,IT-FI0235,Biblioteca dell'Istituto di assestamento e tecnologia forestale della Facoltà di agraria dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di agraria.  Istituto di assestamento e tecnologia forestale,"[43.7957715, 11.1777055]",Via S. Bonaventura 13,Universita' statali,Istituto di insegnamento superiore,,
5576,IT-FI0236,Biblioteca del Dipartimento di agronomia e produzioni erbacee dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di agronomia e produzioni erbacee,"[43.7825006, 11.21944]",,Universita' statali,Istituto di insegnamento superiore,,
5577,IT-FI0238,Biblioteca del Dipartimento di scienze e tecnologie alimentari e microbiologiche. Sezione di microbiologia applicata dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di scienze e tecnologie alimentari e microbiologiche,"[43.7821854, 11.2201356]",,Universita' statali,Istituto di insegnamento superiore,,
5578,IT-FI0239,"Biblioteca del Dipartimento di anatomia umana, istologia e medicina legale. Anatomia umana dell'Università degli studi di Firenze","Università degli studi di Firenze. Dipartimento di anatomia umana, istologia e medicina legale","[43.8000174, 11.244246]",Viale G.B. Morgagni 85,Universita' statali,Istituto di insegnamento superiore,,
5579,IT-FI0240,Biblioteca di scienze - Biologia animale - Università degli studi di Firenze,Università degli studi di Firenze,"[43.7644928, 11.2469885]",Via Romana 17,Universita' statali,Istituto di insegnamento superiore,,
5580,IT-FI0241,Biblioteca di scienze. Polo scientifico. Fisica dell'Università degli studi di Firenze,Università degli studi di Firenze,"[43.8607386, 10.7479089]",,Universita' statali,Istituto di insegnamento superiore,,
5581,IT-FI0243,Biblioteca del Dipartimento di meccanica e tecnologie industriali dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di meccanica e tecnologie industriali,"[43.8001581, 11.2578539]",,Universita' statali,Istituto di insegnamento superiore,,
5582,IT-FI0244,Biblioteca del Dipartimento di pediatria Cesare Cocchi dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di pediatria Cesare Cocchi,"[43.7839644, 11.2700204]",Via L. Giordano 13,Universita' statali,Istituto di insegnamento superiore,,
5583,IT-FI0245,Biblioteca del Dipartimento di scienza del suolo e nutrizione della pianta dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di scienza del suolo e nutrizione della pianta,"[43.7829696, 11.2191985]",,Universita' statali,Istituto di insegnamento superiore,,
5584,IT-FI0246,Biblioteca del Dipartimento di scienze farmaceutiche dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di scienze farmaceutiche,"[43.7788273, 11.2636576]",Via G. Capponi 9,Universita' statali,Istituto di insegnamento superiore,,True
5585,IT-FI0247,Biblioteca del Dipartimento di sistemi e informatica dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di sistemi e informatica,"[43.8001581, 11.2578539]",,Universita' statali,Istituto di insegnamento superiore,,
5586,IT-FI0249,Biblioteca di Scienze sociali - Statistica - Università degli studi di Firenze,Università degli studi di Firenze,"[43.8000174, 11.244246]",Viale G.B. Morgagni 57/b,Universita' statali,Istituto di insegnamento superiore,,
5587,IT-FI0250,Biblioteca dell'Archivio capitolare,Capitolo della Cattedrale di Fiesole,"[43.8073065, 11.2921031]",Piazza della Cattedrale 5,Enti ecclesiastici,Specializzata,,False
5588,IT-FI0253,Biblioteca dell'Archivio vescovile,Curia vescovile di Fiesole,"[43.8072958, 11.2921159]",Piazza della Cattedrale 1,Enti ecclesiastici,Specializzata,,False
5589,IT-FI0254,Biblioteca comunale,Comune di Fiesole,"[43.8076308, 11.2964763]",Via G.B. Sermei 1,Comune,Pubblica,,False
5590,IT-FI0255,Biblioteca comunale. Sezione staccata di Compiobbi,Comune di Fiesole,"[43.784283, 11.3609002]",Via Aretina 85,Comune,Pubblica,,False
5591,IT-FI0256,Biblioteca della Fondazione Primo Conti,Fondazione Primo Conti. Centro di documentazione e ricerche sulle avanguardie storiche,"[43.81064, 11.2925700000001]",Via Duprè 18,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
5592,IT-FI0257,Biblioteca della Georgetown University,Georgetown University di Washington,"[43.8056504, 11.2886079]",Via Vecchia Fiesolana 26,Universita' non statali,Istituto di insegnamento superiore,,True
5593,IT-FI0263,Biblioteca Berenson. The Harvard University Center for Italian Renaissance Studies,Harvard University,"[43.7957841, 11.3179964]",Via di Vincigliata 26,Universita' non statali,Istituto di insegnamento superiore,,True
5594,IT-FI0266,Biblioteca del Museo Casa di Giotto,,"[43.949822, 11.445154]",Localita' Vespignano,"Accademie, associazioni, fondazioni, istituti (pubblici)",NON SPECIFICATA,,
5595,IT-FI0268,Biblioteca comunale Leonardiana,Comune di Vinci,"[43.7875096, 10.9268324]",Via G. La Pira 1,Comune,Specializzata,,False
5596,IT-FI0272,Biblioteca dell'Istituto di anatomia e istologia patologica della Facoltà di medicina e chirurgia dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di medicina e chirurgia. Istituto di anatomia e istologia patologica,"[43.8000174, 11.244246]",Viale G.B. Morgagni 85,Universita' statali,Istituto di insegnamento superiore,,
5597,IT-FI0273,Biblioteca dell'Istituto di anestesiologia e rianimazione della Facoltà di medicina e chirurgia dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di medicina e chirurgia. Istituto di anestesiologia e rianimazione,"[43.8000174, 11.244246]",Viale G.B. Morgagni 85,Universita' statali,Istituto di insegnamento superiore,,
5598,IT-FI0274,Biblioteca dell'Istituto di clinica chirurgica generale e terapia chirurgica I della Facoltà di medicina e chirurgia dell'Università di Firenze,Università degli studi di Firenze. Facoltà di medicina e chirurgia. Istituto di clinica chirurgica generale terapia chirurgica I,"[43.8000174, 11.244246]",Viale G.B. Morgagni 85,Universita' statali,Istituto di insegnamento superiore,,
5599,IT-FI0275,Biblioteca dell'Istituto di clinica dermosifilopatica della Facoltà di medicina e chirurgia dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di medicina e chirurgia. Istituto di clinica dermosifilopatica,"[43.7745492, 11.2599716]",Piazza Brunelleschi 4,Universita' statali,Istituto di insegnamento superiore,,
5600,IT-FI0276,Biblioteca dell'Istituto di medicina interna ed immuno allergologia della Facoltà di medicina e chirurgia dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di medicina e chirurgia. Istituto di medicina interna ed immunoallergologia,"[43.8000174, 11.244246]",Viale G.B. Morgagni 85,Universita' statali,Istituto di insegnamento superiore,,
5601,IT-FI0277,Biblioteca dell'Istituto di clinica medica generale e terapia medica IV della Facoltà di medicina e chirurgia dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di medicina e chirurgia. Istituto di clinica medica generale e terapia medica IV,"[43.8075701, 11.25034]",Viale G. Pieraccini 18,Universita' statali,Istituto di insegnamento superiore,,
5602,IT-FI0278,Biblioteca del Dipartimento di scienze chirurgiche oto-neuro-oftalmologiche. Oculistica dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di scienze chirurgiche oto-neuro-oftalmologiche,"[43.8000174, 11.244246]",Viale G.B. Morgagni 85,Universita' statali,Istituto di insegnamento superiore,,
5603,IT-FI0279,Biblioteca del Dipartimento di scienze chirurgiche ot-neuro-oftalmologiche. Otorino dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di scienze chirurgiche ot-neuro-oftalmologiche,"[43.8000174, 11.244246]",Viale G.B. Morgagni 85,Universita' statali,Istituto di insegnamento superiore,,
5604,IT-FI0280,Biblioteca dell'Istituto di gerontologia e geriatria e di clinica urologica. Sezione di gerontologia e geriatria della Facoltà di medicina e chirurgia dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di medicina e chirurgia. Istituto di gerontologia e geriatria e di clinica urologica,"[43.8075701, 11.25034]",Viale G. Pieraccini 18,Universita' statali,Istituto di insegnamento superiore,,
5605,IT-FI0281,Biblioteca di Scienze sociali. Diritto dell'economia dell'Università degli studi di Firenze,Università degli studi di Firenze,"[43.792695, 11.2306268]",Via delle Pandette 2,Universita' statali,Istituto di insegnamento superiore,,
5606,IT-FI0282,Biblioteca dell'Istituto linguistico della Facoltà di economia e commercio dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di economia e commercio . Istituto linguistico,"[43.7736671, 11.2418328]",Via Curtatone 1,Universita' statali,Istituto di insegnamento superiore,,
5607,IT-FI0283,Biblioteca dell'Istituto di clinica medica generale e cardiologia della Facoltà di medicina e chirurgia dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di medicina e chirurgia. Istituto di clinica medica generale e cardiologia,"[43.8000174, 11.244246]",Viale G.B. Morgagni 85,Universita' statali,Istituto di insegnamento superiore,,
5608,IT-FI0284,Biblioteca di scienze tecnologiche - Dipartimento di progettazione dell'architettura dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di progettazione dell'architettura,"[43.8070064, 11.2965156]","Via Gramsci, 42",Universita' statali,NON SPECIFICATA,,
5609,IT-FI0285,Biblioteca Umanistica - Psicologia - Università degli studi di Firenze,Università degli studi di Firenze,"[43.7703344, 11.2858816]","Via di San Salvi, 12",Universita' statali,Istituto di insegnamento superiore,,False
5610,IT-FI0286,Biblioteca del Dipartimento di sanità pubblica epidemiologica e chimica analitica ambientale. Sezione di igiene dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di sanità pubblica epidemiologica e chimica analitica. Sezione di igiene,"[43.8000174, 11.244246]",Viale G.B. Morgagni 48,Universita' statali,Istituto di insegnamento superiore,,
5611,IT-FI0287,Biblioteca del Dipartimento di scienze aziendali dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di scienze aziendali,"[43.773084, 11.243746]",Via Montebello 7,Universita' statali,Istituto di insegnamento superiore,,
5612,IT-FI0288,Biblioteca del Dipartimento di scienze economiche dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di scienze economiche,"[43.773084, 11.243746]",Via Montebello 7,Universita' statali,Istituto di insegnamento superiore,,
5613,IT-FI0289,Biblioteca del Dipartimento di scienze fisiologiche dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di scienze fisiologiche,"[43.8000174, 11.244246]",Viale G.B. Morgagni 63,Universita' statali,Istituto di insegnamento superiore,,
5614,IT-FI0290,Biblioteca del Dipartimento di scienze zootecniche dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di scienze zootecniche,"[43.7826527, 11.221309]",,Universita' statali,Istituto di insegnamento superiore,,
5615,IT-FI0291,Biblioteca del Dipartimento di storia dell'architettura e restauro delle strutture architettoniche dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di storia dell'architettura  e restauro delle strutture architettoniche,"[43.7786195, 11.2632568]",Via P.A. Micheli 2,Universita' statali,NON SPECIFICATA,,
5616,IT-FI0293,Biblioteca Umanistica - Filosofia - Università degli studi di Firenze,Università degli studi di Firenze,"[43.7980304, 11.2622323]",Via Bolognese 52,Universita' statali,Istituto di insegnamento superiore,,False
5617,IT-FI0294,Biblioteca dell'Istituto di patologia generale della Facoltà di medicina e chirurgia dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di medicina e chirurgia. Istituto di patologia generale,"[43.8000174, 11.244246]",Viale G.B. Morgagni 50,Universita' statali,Istituto di insegnamento superiore,,
5618,IT-FI0295,Biblioteca di scienze tecnologiche - Dipartimento TAeD Pierluigi Spadolini - Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento TAeD Pierluigi Spadolini,"[43.7645992, 11.2602251]",,Universita' statali,Istituto di insegnamento superiore,,
5619,IT-FI0297,Biblioteca dell'Istituto di microbiologia della Facoltà di medicina e chirurgia dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di medicina e chirurgia. Istituto di microbiologia,"[43.8000174, 11.244246]",Viale G.B. Morgagni 48,Universita' statali,Istituto di insegnamento superiore,,
5620,IT-FI0298,"Biblioteca del Dipartimento di anatomia, istologia e medicina legale. Medicina legale dell'Università degli studi di Firenze","Università degli studi di Firenze. Dipartimento di anatomia, istologia e medicina legale","[43.8000174, 11.244246]",Viale G.B. Morgagni 85,Universita' statali,Istituto di insegnamento superiore,,
5621,IT-FI0299,Biblioteca del Dipartimento di studi sul Medioevo e Rinascimento dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di studi sul Medioevo e Rinascimento,"[43.7745492, 11.2599716]",Piazza Brunelleschi 4,Universita' statali,Istituto di insegnamento superiore,,
5622,IT-FI0300,Biblioteca dell'Istituto di patologia e zoologia forestale ed agraria della Facoltà di agraria dell'Università degli studi di Firenze,Università degli studi di Firenze. Facoltà di agraria. Istituto di patologia e zoologia forestale ed agraria,"[43.7821486, 11.220213]",,Universita' statali,Istituto di insegnamento superiore,,
5623,IT-FI0301,Biblioteca del Dipartimento di biologia vegetale dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di biologia vegetale,"[43.7782839, 11.2597306]",Via G. La Pira 4,Universita' statali,Istituto di insegnamento superiore,,
5624,IT-FI0302,Biblioteca dell'Osservatorio astrofisico di Arcetri,"Ministero dell'istruzione, dell'università e della ricerca","[43.7503081, 11.2493144]",Largo Enrico Fermi 5,Presidenza del consiglio dei ministri e ministeri,Specializzata,,False
5625,IT-FI0303,Biblioteca del Dipartimento di italianistica dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di italianistica,"[43.7745492, 11.2599716]",Piazza Brunelleschi 4,Universita' statali,Istituto di insegnamento superiore,,
5626,IT-FI0304,Biblioteca del Dipartimento di scienze dell'antichità Giorgio Pasquali dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di scienze dell'antichità Giorgio Pasquali,"[43.7745492, 11.2599716]",Piazza Brunelleschi 4,Universita' statali,Istituto di insegnamento superiore,,
5627,IT-FI0305,Biblioteca del Dipartimento di linguistica dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di linguistica,"[43.7745492, 11.2599716]",Piazza Brunelleschi 4,Universita' statali,Istituto di insegnamento superiore,,
5628,IT-FI0306,Biblioteca di scienze. Dipartimento di chimica organica Ugo Schiff dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di chimica organica Ugo Schiff,"[43.8607386, 10.7479089]",,Universita' statali,Istituto di insegnamento superiore,,
5629,IT-FI0307,Biblioteca del Dipartimento di costruzioni Leonardo Lusanna dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di costruzioni Leonardo Lusanna,"[43.7747706, 11.2595564]",Piazza Brunelleschi 6,Universita' statali,Istituto di insegnamento superiore,,
5630,IT-FI0308,Biblioteca del Dipartimento economico estimativo agrario e forestale dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento economico estimativo agrario e forestale,"[43.7825006, 11.21944]",,Universita' statali,Istituto di insegnamento superiore,,
5631,IT-FI0309,Biblioteca del Dipartimento di diritto comparato e penale e Dipartimento di diritto privato e processuale dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di diritto comparato e penale e Dipartimento di diritto privato e processuale,"[43.7765445, 11.2725632]",Via B. Varchi 2,Universita' statali,Istituto di insegnamento superiore,,
5632,IT-FI0310,Biblioteca di Scienze sociali. Emeroteca dell'Università degli studi di Firenze,Università degli studi di Firenze,"[43.792695, 11.2306268]",Via delle Pandette 2,Universita' statali,Istituto di insegnamento superiore,,
5633,IT-FI0311,"Biblioteca del Dipartimento di anatomia umana, istologia e medicina legale. Istologia dell'Università degli studi di Firenze","Università degli studi di Firenze. Dipartimento di anatomia umana, istologia e medicina legale","[43.804284, 11.2479731]",Viale G. Pieraccini 6,Universita' statali,Istituto di insegnamento superiore,,
5634,IT-FI0313,Biblioteca biomedica del Dipartimento di farmacologia preclinica e clinica Mario Aiazzi Mancini dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di farmacologia preclinica e clinica,"[43.804284, 11.2479731]","Viale Pieraccini, 6",Universita' statali,Istituto di insegnamento superiore,,
5635,IT-FI0314,Biblioteca del Dipartimento di energetica dell'Università degli studi di Firenze,Università degli studi di Firenze. Dipartimento di energetica,"[43.8001581, 11.2578539]",,Universita' statali,Istituto di insegnamento superiore,,
5636,IT-FI0315,Biblioteca dell'Istituto universitario europeo,Istituto universitario europeo,"[43.8032117, 11.2831078]",Via dei Roccettini 9,Organizzazioni internazionali,Specializzata,,True
5637,IT-FI0320,Biblioteca comunale dell'Argingrosso,Comune di Firenze,"[43.782861, 11.195869]",Via S. Maria a Cintoia 1/19,Comune,Pubblica,,False
5638,IT-FI0321,Biblioteca dei ragazzi,Comune di Firenze,"[43.76684, 11.26436]",Via Tripoli 34,Comune,Pubblica,,False
5639,IT-FI0322,Biblioteca della Fondazione Ezio Franceschini,Fondazione Ezio Franceschini,"[43.7736117759052, 11.2433442493652]","Via Montebello, 7","Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,True
5640,IT-FI0323,Biblioteca comunale di Coverciano,Comune di Firenze,"[43.7758358, 11.2908295]",Via Arcolaio 2/A,Comune,Pubblica,,False
5641,IT-FI0324,Biblioteca della Società internazionale per lo studio del medioevo latino - SISMEL,Società internazionale per lo studio del medioevo latino. SISMEL,"[43.7736385741956, 11.2432406583496]","Via Montebello, 7","Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
5642,IT-FI0325,Biblioteca del Museo Stibbert,Fondazione Opera Museo Stibbert,"[43.7939598, 11.255451]",Via di Montughi 7,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,True
5643,IT-FI0326,Biblioteca del Kunsthistorisches Institut in Florenz,"Bundesministerium für Bildung, Wissenschaft, Forschung und Technologie","[43.7774328, 11.2634957]",Via G. Giusti 44,Istituzioni straniere,Specializzata,,True
5644,IT-FI0327,Biblioteca dell'Istituto di teoria e tecniche dell'informazione giuridica -ITTIG del CNR,Consiglio nazionale delle ricerche - CNR. Istituto di teoria e tecniche dell'informazione giuridica - ITTIG (già IDG),"[43.80156, 11.23193]",Via Panciatichi 56/16,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,True
5645,IT-FI0328,Biblioteca compartimentale dell'Ente nazionale per l'energia elettrica,Ente nazionale per l'energia elettrica,"[43.7655196, 11.2783628]",Lungarno C. Colombo 54,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,True
5646,IT-FI0329,Biblioteca Mario Luzi,Comune di Firenze,"[43.7760849503596, 11.2900878465576]",Via Ugo Schiff 8,Comune,Pubblica,True,False
5647,IT-FI0330,Biblioteca Harold Acton dell'Istituto britannico,British Institute of Florence,"[43.7687697, 11.2492528]",Lungarno Guicciardini 9,Istituzioni straniere,Specializzata,,True
5648,IT-FI0331,Biblioteca della Fondazione di studi storici Filippo Turati,Fondazione di studi storici Filippo Turati,"[43.770575, 11.263985]",Via Buonarroti 13,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,True
5649,IT-FI0332,Biblioteca di spiritualità Arrigo Levasti,Provincia di San Marco e Sardegna dell'Ordine dei Frati Predicatori (Domenicani),"[43.7772612, 11.2577105]","Via Della Dogana, 9/R",Enti ecclesiastici,Specializzata,True,False
