,codici-identificativi.isil,denominazioni.ufficiale,ente,indirizzo.coordinate,indirizzo.via-piazza,tipologia-amministrativa,tipologia-funzionale,accesso.portatori-handicap,accesso.riservato
13589,IT-RM1252,Biblioteca dell'Archivio storico dell'automobilismo,Autocritica documentazione. Archivio storico dell'automobilismo,"[41.9157843, 12.5135414]",Via G. Tomassetti 16,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
13590,IT-RM1253,Biblioteca del Centro interdipartimentale di servizi per l'automazione nelle discipline umanistiche dell'Università degli studi di Roma La Sapienza,Università degli studi di Roma La Sapienza. Centro interdipartimentale di servizi per l'automazione nelle biblioteche umanistiche,"[41.9017582, 12.5120975]",Piazzale A. Moro 5,Universita' statali,Istituto di insegnamento superiore,,True
13591,IT-RM1254,Biblioteca del Centro internazionale Alberto Moravia,Centro internazionale Alberto Moravia,"[41.9047286, 12.4595372]",Via del Falco 7,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
13592,IT-RM1255,Biblioteca dell'Istituto di chimica dei materiali del Consiglio nazionale delle ricerche,Consiglio nazionale delle ricerche. Istituto di chimica dei materiali,"[42.1354, 12.73812]",Via Salaria Km 29.300,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,False
13593,IT-RM1256,Biblioteca della Scuola centrale tributaria Ezio Vanoni,Ministero dell'economia e delle finanze. Scuola centrale tributaria Ezio Vanoni,"[41.937873, 12.4629338]",Via Caviglia 24,Presidenza del consiglio dei ministri e ministeri,Specializzata,,True
13594,IT-RM1257,Biblioteca del Centro islamico culturale d'Italia,Centro islamico culturale d'Italia,"[41.933867, 12.4931996]",Viale Moschea,"Accademie, associazioni, fondazioni, istituti (pubblici)",NON SPECIFICATA,,
13595,IT-RM1258,Biblioteca comunale Tullio De Mauro,Comune di Roma - Istituzione Biblioteche di Roma,"[41.8985942, 12.5146701]",Via Tiburtina 113,Comune,Pubblica,True,False
13596,IT-RM1259,Biblioteca dell'Ufficio per gli studi di diritto tributario comparato e per le relazioni internazionali del Ministero dell'economia e delle finanze,Ministero dell'economia e delle finanze. Ufficio per gli studi di diritto tributario comparato e per le relazioni internazionali,"[41.826161, 12.4783685]",Viale dell'aeronautica 122,Presidenza del consiglio dei ministri e ministeri,Specializzata,,False
13597,IT-RM1260,Biblioteca della Direzione generale affari generali e del personale del Ministero dell'economia e delle finanze,Ministero dell'economia e delle finanze. Direzione generale degli affari generali e del personale,"[41.7969142, 12.4883304]",Via M. Carucci 131,Presidenza del consiglio dei ministri e ministeri,Specializzata,,False
13598,IT-RM1261,Biblioteca della Pontificia Facoltà di scienze dell'educazione Auxilium,Figlie di Maria Ausiliatrice. Pontificia Facoltà di scienze dell'educazione Auxilium,"[41.934327, 12.3711792]",Via Cremolino 141,Enti ecclesiastici,Specializzata,,True
13599,IT-RM1262,Biblioteca A.M.A.,Azienda Municipale Ambiente S.p.A.,"[41.8408363, 12.5117648]",Via Calderon de la Barca 87,Comune,Specializzata,,False
13600,IT-RM1263,Biblioteca del Centro regionale S. Alessio Margherita di Savoia per i ciechi,Centro regionale S. Alessio Margherita di Savoia per i ciechi,"[41.8557773, 12.5004177]",Viale C. T. Odescalchi 38,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Pubblica,,False
