codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;comune;position_label;Lat;Long
IT-FI0475;Biblioteca del Centro congressi;Centro internazionale dei congressi;Piazza Adua 1;Accademie, associazioni, fondazioni, istituti, societa' (privati);Pubblica;;True;Firenze;181;43,7778299;11,2494615
IT-FI0476;Biblioteca del Centro studi danza;Associazione culturale Centro studi danza;Via Monteverdi 3/A;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;182;43,7851885;11,2357139
IT-FI0477;Biblioteca del Centro di documentazione e archivio storico Il Sessantotto;Centro di documentazione e archivio storico Il Sessantotto;Via Giano della Bella 22;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;Firenze;183;43,7642062;11,2401675
IT-FI0478;Biblioteca di documentazione del Centro SMID;Centro SMID. Studio multicentrico italiano sulla demenza;Viale Il Prato 58;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;Firenze;184;43,77626;11,241669
IT-FI0479;Biblioteca del Centro tecnico federale Luigi Ridolfi;Federazione italiana giuoco calcio;Viale G. D'Annunzio 138;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;True;Firenze;185;43,780913;11,302278
IT-FI0480;Biblioteca del Gruppo micologico fiorentino;Gruppo micologico fiorentino;Via della Torre del Gallo 30;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;Firenze;186;43,7519761;11,2565468
IT-FI0481; Biblioteca dell'Istituto per la storia e la prevenzione oncologica - ISPO;Azienda ospedaliera Careggi;Viale A. Volta 171;Aziende ed enti del servizio sanitario nazionale;Specializzata;;False;Firenze;187;43,7852117;11,2729935
IT-FI0482;Biblioteca medica Ennio Montoni;Azienda Sanitaria 10 di Firenze;Via Torregalli 3;Aziende ed enti del servizio sanitario nazionale;Specializzata;;True;Firenze;188;43,7583345;11,2027266
IT-FI0483;Biblioteca di ARPAT;Agenzia regionale per la protezione ambientale della Toscana - ARPAT;Via Porpora, 22;Regione;Specializzata;True;False;Firenze;189;43,7823798;11,2333719
IT-FI0484;Biblioteca del Gruppo ricerche scientifiche e tecniche subacquee - GRSTS;Gruppo ricerche scientifiche e tecniche subacquee;Vicolozzo del Pozzetto, Viale Europa;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;190;43,7570203;11,2975622
