codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;comune;position_label;Lat;Long
IT-TO0823;Biblioteca Biomedica Integrata Università A.S.O.  S. Luigi - Ospedale S. Luigi Orbassano;Universita' degli studi di Torino. Dipartimento di Scienze cliniche e biologiche;Ospedale San Luigi Gonzaga - Regione Gonzole 10;Universita' statali;Istituto di insegnamento superiore;;False;Torino;137;45,0286585;7,5589945
IT-TO0824;Biblioteca di Sanità pubblica e Microbiologia del Dipartimento di Scienze della Sanità Pubblica e Pediatriche;Università degli studi di Torino. Dipartimento di sanità pubblica e microbiologia;Via Santena 5 bis;Universita' statali;Istituto di insegnamento superiore;False;False;Torino;138;45,037172;7,6740981
IT-TO0825;Biblioteca civica;Comune di Brusasco;Via Marconi 61 - Palazzo Ellena;Comune;Pubblica;;False;Torino;139;45,1543929;8,05827650000003
IT-TO0826;Biblioteca del Centro studi e Museo civico di arte preistorica - CeSMAP;Centro studi e Museo civico di arte preistorica - CeSMAP;Viale G. Giolitti 1;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Torino;140;44,8858764;7,3354664
IT-TO0827;Biblioteca civica;Comune di Cavagnolo;Piazza Vittorio Veneto;Comune;Pubblica;;False;Torino;141;45,1511526;8,0139518
IT-TO0830;Biblioteca Valperga di Masino e di Caluso;Fondo per l'ambiente italiano - FAI;Castello di Masino;Accademie, associazioni, fondazioni, istituti (pubblici);Importante non specializzata;;True;Torino;142;45,3915373;7,9606614
IT-TO0831;Biblioteca del Castello di Rivoli Museo d'arte contemporanea;Comitato per l'arte in Piemonte;Piazza Mafalda di Savoia;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Torino;143;45,0700182;7,5093669
IT-TO0832;Biblioteca civica Antonio Arduino. Sezione ragazzi;Comune di Moncalieri;Via Palestro 9;Comune;Pubblica;;False;Torino;144;45,0034357;7,6852144
IT-TO0833;Biblioteca dell'Istituto zooprofilattico sperimentale del Piemonte, Liguria e Valle d'Aosta;Istituto zooprofilattico sperimentale del Piemonte, Liguria e Valle d'Aosta;Via Bologna 148;Regione;Specializzata;;True;Torino;145;45,0862289;7,7039321
IT-TO0834;Biblioteca civica Dietrich Bonhoeffer;Comune di Torino;Corso Corsica 55;Comune;Pubblica;True;False;Torino;146;45,0278657;7,6498861
IT-TO0838;Biblioteca comunale;Comune di Sciolze;Via Roma, 1;Comune;Pubblica;;False;Torino;147;45,0949568681027;7,87726100790405
IT-TO0839;Biblioteca di studi occitani;Associazione culturale valados usitanos;presso Comunità montana valli Chisone e Germanasca - Via Roma 22;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Torino;148;44,9564161;7,1924746
IT-TO0840;Biblioteca del Centro italiano studio documentazione alpinismo extraeuropeo - CISDAE del Club alpino italiano - CAI;Club alpino italiano - CAI. Centro italiano studio documentazione alpinismo extraeuropeo - CISDAE;Via G. Giardino 39;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;Torino;149;45,0598115;7,697432
IT-TO0841;Biblioteca della Procura generale della Repubblica;Ministero della giustizia;Via Corte d'Appello 16;Presidenza del consiglio dei ministri e ministeri;Specializzata;;True;Torino;150;45,0743714;7,6790847
IT-TO0842;Biblioteca Le Vallere;Regione Piemonte. Assessorato dei beni culturali e ambientali;Corso Trieste 98;Regione;Specializzata;;False;Torino;151;45,0078964;7,6723839
IT-TO0843;Biblioteca della Fondazione Carlo Donat Cattin;Fondazione Carlo Donat Cattin;Via Stampatori 4;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Torino;152;45,0731931;7,6788345
IT-TO0844;Biblioteca del Convento San Domenico;Domenicani Convento San Domenico di Torino;Via San Domenico 0;Enti ecclesiastici;Specializzata;;True;Torino;153;45,076203;7,6760563
IT-TO0845;Biblioteca della Scuola di formazione per educatori professionali;Federazione italiana religiosa assistenza sociale - FIRAS;Via Cottolengo 22;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;Torino;154;45,0795731;7,6786623
IT-TO0846;Biblioteca Anna Maria di Giorgio - SUISM  Centro di Servizi;Università degli studi di Torino;Piazza Bernini 12;NON SPECIFICATA;NON SPECIFICATA;;True;Torino;155;45,0765393;7,6556551
IT-TO0847;Biblioteca dell'Istituto di medicina dello sport;Istituto di medicina dello sport di Torino;Via Filadelfia 88;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;Torino;156;45,0395704;7,6521992
IT-TO0848;Biblioteca del Centro italiano di collaborazione per lo sviluppo edilizio delle nazioni emergenti;Centro italiano di collaborazione per lo sviluppo edilizio delle nazioni emergenti - CICSENE;Via Borgosesia 30;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;Torino;157;45,0774642;7,6398836
IT-TO0849;Biblioteca dell'Ospedale San Giovanni antica sede;USSL 1 Torino;Via Cavour 31;Aziende ed enti del servizio sanitario nazionale;Specializzata;;False;Torino;158;45,0635106;7,6878778
IT-TO0850;Biblioteca della Comunità impegno servizio volontariato;Comunità impegno servizio volontariato - CISV;Corso Chieri 121/8;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;Torino;159;45,061313;7,7398609
IT-TO0851;Biblioteca del centro di documentazione sul terzo mondo;Movimento sviluppo e pace;Via Saluzzo 58;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;Torino;160;45,0541367;7,6771044
IT-TO0852;Biblioteca del Centro studi africani;Centro studi africani - CSA;Piazza San Giovanni;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;Torino;161;45,0734136;7,6847214
IT-TO0855;Biblioteca della Pretura civile;Ministero della giustizia;Via Corte d'appello 10;Presidenza del consiglio dei ministri e ministeri;Specializzata;;True;Torino;162;45,0739134;7,6803469
IT-TO0856;Biblioteca della Procura generale della Repubblica presso il tribunale;Ministero della giustizia;Via T. Tasso 1;Presidenza del consiglio dei ministri e ministeri;Specializzata;;True;Torino;163;45,0740839;7,6821162
IT-TO0857;Biblioteca della Procura generale della Repubblica presso la pretura circondariale di Torino;Ministero della giustizia;Piazza Palazzo di città 7;Presidenza del consiglio dei ministri e ministeri;Specializzata;;True;Torino;164;45,0730016;7,6817282
IT-TO0859;Biblioteca dell'Istituto di clinica chirurgica e terapia chirurgica della Facoltà di medicina e chirurgia dell'Università degli studi di Torino;Università degli studi di Torino. Facoltà di medicina e chirurgia;Corso Dogliotti 14;Universita' statali;Istituto di insegnamento superiore;;True;Torino;165;45,0412499;7,6764155
IT-TO0860;Biblioteca della Sacra di San Michele;Rosminiani;Sacra di San Michele;Enti ecclesiastici;Specializzata;;True;Torino;166;45,0980556;7,3436111
IT-TO0861;Biblioteca del Convento Santa Maria delle Rose;Domenicani. Convento Santa Maria delle Rose di Torino;Via Rosario Santa Fe' 7;Enti ecclesiastici;Specializzata;;True;Torino;167;45,0351306;7,6502771
IT-TO0862;Biblioteca dell'archivio dell'Ospedale ostetrico-ginecologico Sant'Anna;USSL 9 Torino;Corso Spezia 60 - Via Ventimiglia 1;Aziende ed enti del servizio sanitario nazionale;Specializzata;;True;Torino;168;45,0360226;7,6732521
IT-TO0865;Biblioteca del Centro studi e ricerche Mario Pannunzio;Centro studi e ricerche Mario Pannunzio;Via Maria Vittoria 35/h;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Torino;169;45,0656686;7,6907164
IT-TO0866;Biblioteca provinciale OFM - Torino;Provincia OFM di S. Bonaventura in Piemonte;Via Sant'Antonio di Padova, 7;Enti ecclesiastici;Specializzata;True;False;Torino;170;45,0687459;7,6656111
IT-TO0867;Biblioteca dell'Unione tipografica editrice torinese;Unione tipografica editrice torinese - UTET;Corso Raffaello 28;Accademie, associazioni, fondazioni, istituti, societa' (privati);Importante non specializzata;;True;Torino;171;45,0509339;7,6800043
IT-TO0868;Biblioteca medica dell'Ospedale mauriziano Umberto I;Ordine dei santi Maurizio e Lazzaro. Ospedale mauriziano Umberto I;Largo Turati 62;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;Torino;172;45,0503085;7,6655135
IT-TO0869;Biblioteca del Centro studi vietnamiti;Centro studi vietnamiti;Piazza Madama Cristina 5;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Torino;173;45,0585163;7,6838188
IT-TO0870; Biblioteca della Fondazione Tancredi di Barolo;Fondazione Tancredi di Barolo;Via delle Orfane 7;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;Torino;174;45,0746376;7,6786731
IT-TO0871;Biblioteca del Circolo degli artisti;Circolo degli artisti di Torino;Via Bogino 9;Accademie, associazioni, fondazioni, istituti (pubblici);Pubblica;;True;Torino;175;45,068515;7,6876014
IT-TO0873;Biblioteca dell'Istituto salesiano Valsalice;Salesiani. Istituto Valsalice;Viale E. Thovez 37;Enti ecclesiastici;Specializzata;;False;Torino;176;45,0539688;7,7025041
IT-TO0875;Biblioteca di Dermatologia del Dipartimento di Scienze Biomediche e Oncologia umana dell'Università degli Studi di Torino ;Università degli studi di Torino. Dipartimento di medicina e oncologia sperimentale. Sezione di patologia generale;Via Cherasco, 23;Universita' statali;Istituto di insegnamento superiore;;;Torino;177;45,0377719;7,6721768
IT-TO0880;Biblioteca di cultura del Collegio S. Giuseppe;Fratelli delle scuole cristiane. Collegio S. Giuseppe;Via S. Francesco di Paola 23;Enti ecclesiastici;Importante non specializzata;;True;Torino;178;45,0635565;7,6856007
IT-TO0882;Biblioteca musicale della RAI - Radiotelevisione italiana;;Via Verdi 16;NON SPECIFICATA;NON SPECIFICATA;;;Torino;179;45,0684676;7,6920643
IT-TO0883;Biblioteca del Centro studi e ricerche storiche sull'architettura militare del Piemonte;;Piazza Savoia 6;NON SPECIFICATA;NON SPECIFICATA;;;Torino;180;45,0750512;7,6778233
IT-TO0884;Archivio dell'Accademia filarmonica;;Piazza S. Carlo 183;NON SPECIFICATA;NON SPECIFICATA;;;Torino;181;45,0675326;7,6829383
IT-TO0885;Biblioteca Comunale;Comune di Caselette;Piazza Municipio 1;Comune;Pubblica;;False;Torino;182;45,1058546;7,482565
IT-TO0886;Biblioteca civica;Comune di Valgioie;Piazza Chiapero 9;Comune;Pubblica;;False;Torino;183;45,0765981;7,3425438
IT-TO0891;Galleria civica di arte moderna e contemporanea;;Via Magenta, 31;NON SPECIFICATA;NON SPECIFICATA;;;Torino;184;45,0652976;7,6689926
IT-TO0896;Biblioteca privata Mario Dell'Ara;;Via Praciosa 15;Privati - Famiglie;NON SPECIFICATA;;;Torino;185;45,0156228;7,6641241
IT-TO0901;Biblioteca civica Cesare Pavese;Comune di Torino;Via Candiolo 79;Comune;Pubblica;True;False;Torino;186;45,0157802;7,6490509
IT-TO0902;Biblioteca civica Primo Levi;Comune di Torino;Via Ruggero Leoncavallo, 17;Comune;Pubblica;True;False;Torino;187;45,0856132249121;7,69785076137691
IT-TO0903;Punto prestito Gabriele D'Annunzio;Comune di Torino;Via G. Saccarelli 18;Comune;Pubblica;;False;Torino;188;45,0803971;7,6665577
IT-TO0907;Biblioteca Centro di documentazione La Venaria reale;Centro di documentazione La Venaria reale;Via Bertolotti 2;NON SPECIFICATA;NON SPECIFICATA;;;Torino;189;45,0685789;7,6760433
IT-TO0911;Biblioteca Comunale;Comune di Bobbio Pellice;Piazza Caduti della Libertà 7;NON SPECIFICATA;NON SPECIFICATA;;;Torino;190;44,8077872;7,1172111
IT-TO0912;Biblioteca civica;Comune di Brozolo;Via Grisoglio 67;Comune;Pubblica;False;False;Torino;191;45,1175933;8,0722047
IT-TO0914;Biblioteca civica 2 giugno;Comune di Cesana Torinese;Viale IV Novembre 11;NON SPECIFICATA;NON SPECIFICATA;;;Torino;192;44,949011;6,795421
IT-TO0916;Biblioteca civica;Comune di Germagnano;Via C. Migletti 56;NON SPECIFICATA;NON SPECIFICATA;;;Torino;193;45,261958;7,46682199999998
IT-TO0917;Biblioteca civica;Comune di Osasio;Via Breme 12;Comune;Pubblica;;;Torino;194;44,8695445;7,6086287
IT-TO0918;Biblioteca civica;Comune di San Gernano Chisone;Via Scuole 5;NON SPECIFICATA;NON SPECIFICATA;;;Torino;195;44,8982845;7,2404149
IT-TO0919;Biblioteca civica;Comune di San Secondo di Pinerolo;Via Bonatto 3;Comune;Pubblica;;;Torino;196;44,8666863;7,2989167
IT-TO0921;Biblioteca civica;Comune di Vaie;Via Martiri della Libertà 7;NON SPECIFICATA;NON SPECIFICATA;;;Torino;197;45,1023649;7,2897012
IT-TO0922;Biblioteca del Centro regionale etnografico linguistico;Centro regionale etnografico linguistico;Piazza Solferino 3;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Torino;198;45,0693526;7,6778704
IT-TO0924;Biblioteca Immagine per il Piemonte;Associazione Immagine per il Piemonte;Via A. Doria 9;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Torino;199;45,0640589;7,6828189
IT-TO0925;Biblioteca del Museo tipografico Rondani;Centro studi carmagnolesi;Via L. Cavalli 6;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;;Torino;200;44,8455973;7,720973
IT-TO0926;Biblioteca della Fondazione italiana per la fotografia;Fondazione italiana per la fotografia;Via Avogadro 4;NON SPECIFICATA;NON SPECIFICATA;;;Torino;201;45,066451;7,6695463
IT-TO0927;Centro di documetazione della Fondazione Fitzcarraldo;Fondazione Fitzcarraldo;Via Aosta 8;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;;Torino;202;45,0814686;7,6891287
IT-TO0929;Biblioteca comunale;Comune di Airasca;Via Monfrucchio 15;Comune;Pubblica;;;Torino;203;44,9161805;7,4871419
IT-TO0930;Biblioteca Comunale;Comune di Angrogna;Piazza Roma 3;Comune;Pubblica;;;Torino;204;44,8436902;7,2240301
IT-TO0932;Biblioteca civica;Comune di Villar Pellice;Viale I Maggio 9;Comune;Pubblica;;False;Torino;205;44,808465;7,1576994
IT-TO0933;Biblioteca Comunale;Comune di Cercenasco;Via G. Carducci 4;Comune;Pubblica;;;Torino;206;44,861834;7,5010985
IT-TO0934;Biblioteca civica;Comune di Chianocco;Via Roccaforte 1;Comune;Pubblica;;;Torino;207;45,147036;7,173411
IT-TO0935;Biblioteca Comunale;Comune di Macello;Via Vigone 1;Comune;Pubblica;;False;Torino;208;44,8506033;7,4029731
IT-TO0936;Biblioteca civica;Comune di Navalesa;Via Susa 19;Comune;Pubblica;;False;Torino;209;45,1789316;7,0163211
IT-TO0937;Biblioteca civica;Comune di Osasco;Via IV Novembre 5;Comune;Pubblica;;False;Torino;210;44,85;7,34306
IT-TO0938;Biblioteca civica;Comune di Rubiana;Via Roma 31;Comune;Pubblica;;;Torino;211;45,1373783;7,3831606
IT-TO0939;Centro di documentazione del Centro UNESCO;UNESCO. Centro di Torino;Viale Maestri del lavoro 10;Organizzazioni internazionali;Specializzata;;False;Torino;212;45,0207373;7,6711905
IT-TO0941;Biblioteca dell'Istituto sperimentale per la zootecnia;;Via Pianezza 115;NON SPECIFICATA;NON SPECIFICATA;;;Torino;213;45,094421;7,6498964
IT-TO0942;Biblioteca del Centro internazionale di ricerche economiche;Centro internazionale di ricerche economiche;Viale Settimio Severo 65;NON SPECIFICATA;NON SPECIFICATA;;;Torino;214;45,0500329;7,6947385
IT-TO0943;Biblioteca della Fondazione Rosselli;Fondazione Rosselli;Via S. Quintino 18/c;NON SPECIFICATA;NON SPECIFICATA;;;Torino;215;45,0659615;7,673492
IT-TO0944;Biblioteca Eugenio Reffo della Congregazione di S. Giuseppe;Congregazione di S. Giuseppe;Corso Palestro 14;Enti ecclesiastici;Specializzata;;False;Torino;216;45,0736115;7,6721922
IT-TO0946;Biblioteca civica;Comune di Virle Piemonte;Via Birago 4;Comune;Pubblica;;;Torino;217;44,8656503;7,5692359
IT-TO0947;Biblioteca civica;Comune di San Giorio di Susa;Piazza Cinque Martiri, 1;Comune;Pubblica;;;Torino;218;45,1283087;7,1776542
IT-TO0950;Biblioteca civica;Comune di Mompantero;Piazza Bolaffi 1;Comune;Pubblica;;False;Torino;219;45,1399913;7,0578351
IT-TO0951;Archivio Francesco Faà di Bruno;Suore minime di Nostra Signora del Suffragio. Istituto Faà di Bruno;Via S. Donato 31;NON SPECIFICATA;NON SPECIFICATA;;;Torino;220;45,0810638;7,6628723
IT-TO0955;Biblioteca Comunale;Comune di Massello;Borgata Roberso 1;NON SPECIFICATA;NON SPECIFICATA;;;Torino;221;44,9578009;7,058088
IT-TO0956;Biblioteca civica;Comune di Usseaux;Via XXVIII ottobre 47;Comune;Pubblica;;False;Torino;222;45,04897;7,027863
IT-TO0957;Biblioteca del Parco naturale del Gran Bosco;;Via Monginevro 7;NON SPECIFICATA;NON SPECIFICATA;;;Torino;223;45,0636533;6,8706954
IT-TO0958;Biblioteca del Centro cure palliative;Centro cure palliative;Via Fontane 4;NON SPECIFICATA;NON SPECIFICATA;;;Torino;224;45,23667;7,606223
IT-TO0959;Biblioteca di Microbiologia del Dipartimento di sanità pubblica e microbiologia dell'Università degli studi di Torino;Università degli studi di Torino. Dipartimento di sanità pubblica e microbiologia;Via Santena 9;NON SPECIFICATA;NON SPECIFICATA;;;Torino;225;45,0371042;7,6749183
