route_id;route_type;stop_id;stop_name;stop_desc;Lat;Long;wheelchair_boarding;IDquartiere;SEZ2011;stopCode
3092E;3;1183;VERCELLI N.483;CORSO VERCELLI N.483;45.11885;7.709739999999999;1;19;12720002550;1183_3092E
3131E;3;1183;VERCELLI N.483;CORSO VERCELLI N.483;45.11885;7.709739999999999;1;19;12720002550;1183_3131E
46NU;3;1183;VERCELLI N.483;CORSO VERCELLI N.483;45.11885;7.709739999999999;1;19;12720002550;1183_46NU
50U;3;1183;VERCELLI N.483;CORSO VERCELLI N.483;45.11885;7.709739999999999;1;19;12720002550;1183_50U
51U;3;1183;VERCELLI N.483;CORSO VERCELLI N.483;45.11885;7.709739999999999;1;19;12720002550;1183_51U
3106E;3;1013;CAIO MARIO NORD;C.AGNELLI / P.LE CAIO MARIO;45.0245;7.636;2;23;12720002355;1013_3106E
3329E;3;1013;CAIO MARIO NORD;C.AGNELLI / P.LE CAIO MARIO;45.0245;7.636;2;23;12720002355;1013_3329E
40U;3;1013;CAIO MARIO NORD;C.AGNELLI / P.LE CAIO MARIO;45.0245;7.636;2;23;12720002355;1013_40U
41U;3;1013;CAIO MARIO NORD;C.AGNELLI / P.LE CAIO MARIO;45.0245;7.636;2;23;12720002355;1013_41U
3106E;3;1332;CAFASSO;C.CASALE 410;45.08587;7.7334;1;21;12720002520;1332_3106E
3107E;3;1332;CAFASSO;C.CASALE 410;45.08587;7.7334;1;21;12720002520;1332_3107E
61U;3;1332;CAFASSO;C.CASALE 410;45.08587;7.7334;1;21;12720002520;1332_61U
3106E;3;1792;CASALE N.472;C.CASALE FRONTE N. 447;45.0889;7.73885;1;21;12720003829;1792_3106E
3107E;3;1792;CASALE N.472;C.CASALE FRONTE N. 447;45.0889;7.73885;1;21;12720003829;1792_3107E
61U;3;1792;CASALE N.472;C.CASALE FRONTE N. 447;45.0889;7.73885;1;21;12720003829;1792_61U
3107E;3;10739;TORINO (LUNGO DORA SIENA/V. ROSSINI);;45.073840000000004;7.693510000000001;0;7;12720003171;10739_3107E
3107E;3;1336;ROMANIA N.546;C.ROMANIA FRONTE N.546;45.12151;7.719069999999999;2;19;12720002547;1336_3107E
3166E;3;1336;ROMANIA N.546;C.ROMANIA FRONTE N.546;45.12151;7.719069999999999;2;19;12720002547;1336_3166E
5135E;3;1336;ROMANIA N.546;C.ROMANIA FRONTE N.546;45.12151;7.719069999999999;2;19;12720002547;1336_5135E
SE1U;3;1336;ROMANIA N.546;C.ROMANIA FRONTE N.546;45.12151;7.719069999999999;2;19;12720002547;1336_SE1U
SE2U;3;1336;ROMANIA N.546;C.ROMANIA FRONTE N.546;45.12151;7.719069999999999;2;19;12720002547;1336_SE2U
3107E;3;1334;TORINO (CENTRO COMMERCIALE);;45.11956;7.7121699999999995;0;19;12720002547;1334_3107E
3166E;3;1334;TORINO (CENTRO COMMERCIALE);;45.11956;7.7121699999999995;0;19;12720002547;1334_3166E
5135E;3;1334;TORINO (CENTRO COMMERCIALE);;45.11956;7.7121699999999995;0;19;12720002547;1334_5135E
3165E;3;2592;DEL FRANCESE OVEST;STR.AEROPORTO PRIMA DI VECCHIA STR.FRANCESE;45.13466;7.65637;2;16;12720002538;2592_3165E
3329E;3;2592;DEL FRANCESE OVEST;STR.AEROPORTO PRIMA DI VECCHIA STR.FRANCESE;45.13466;7.65637;2;16;12720002538;2592_3329E
46NU;3;2592;DEL FRANCESE OVEST;STR.AEROPORTO PRIMA DI VECCHIA STR.FRANCESE;45.13466;7.65637;2;16;12720002538;2592_46NU
69U;3;2592;DEL FRANCESE OVEST;STR.AEROPORTO PRIMA DI VECCHIA STR.FRANCESE;45.13466;7.65637;2;16;12720002538;2592_69U
