codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;comune;position_label;Lat;Long
IT-RM0906;Biblioteca di Ingegneria Astronautica, Elettrica ed Energetica dell'Università degli studi di Roma La Sapienza - Punto di servizio Ingegneria Elettrica;Università degli studi di Roma La Sapienza. Dipartimento di Ingegneria Astronautica, Elettrica ed Energetica;Via delle Sette Sale, 12/b;Universita' statali;Istituto di insegnamento superiore;;False;Roma;102;41,8935609;12,4947919
IT-RM0907;Biblioteca Paolo Silvestroni. Sede di chimica del Dipartimento di ingegneria chimica materiali ambiente dell'Università degli studi di Roma La Sapienza;Università degli studi di Roma La Sapienza. Dipartimento di ingegneria chimica, dei materiali, delle materie prime e metallurgia;Via del Castro Laurenziano 7;Universita' statali;Istituto di insegnamento superiore;;False;Roma;103;41,9059109;12,5170783
IT-RM0908;Biblioteca del Dipartimento di energetica dell'Università degli studi di Roma La Sapienza;Università degli studi di Roma La Sapienza. Dipartimento di energetica;Via A. Scarpa 14;Universita' statali;Istituto di insegnamento superiore;;False;Roma;104;41,9071644;12,5185224
IT-RM0909;Biblioteca di Scienze di base e applicate per l'ingegneria dell'Università degli studi di Roma La Sapienza;Università degli studi di Roma La Sapienza;Via A. Scarpa 10;Universita' statali;Istituto di insegnamento superiore;;True;Roma;105;41,9062456;12,5172391
IT-RM0914;Biblioteca dell'Istituto di clinica odontoiatrica della Facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza;Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia. Istituto di clinica odontoiatrica;Viale Regina Elena 287/a;Universita' statali;Istituto di insegnamento superiore;;False;Roma;106;41,9043102;12,5174938
IT-RM0919;Biblioteca Interdipartimentale di Scienze Ginecologiche, Radiologiche e Urologiche dell'Università degli studi di Roma La Sapienza - sede Ginecologia;Università degli studi di Roma La Sapienza. Dipartimento di Scienze Ginecologico-Ostetriche e Scienze Urologich;Viale del Policlinico 155;Universita' statali;Istituto di insegnamento superiore;False;True;Roma;107;41,9053145;12,510775
IT-RM0920;Biblioteca Michele Bufano del Dipartimento di medicina clinica dell'Università degli studi di Roma La Sapienza;Università degli studi di Roma La Sapienza. Dipartimento di medicina clinica;Viale dell'Università 37;Universita' statali;Istituto di insegnamento superiore;;False;Roma;108;41,9056565;12,5155477
IT-RM0922;Biblioteca del Dipartimento di scienze neurologiche dell'Università degli studi di Roma La Sapienza;Università degli studi di Roma La Sapienza. Dipartimento di scienze neurologiche;Viale dell'Università 30;Universita' statali;Istituto di insegnamento superiore;;False;Roma;109;41,9045183;12,5124712
IT-RM0924;"Biblioteca Biologia e Biotecnologie ""Charles Darwin"" dell'Università degli studi di Roma La Sapienza - sede Zoologia";Università degli studi di Roma La Sapienza. Dipartimento di biologia animale e dell'uomo;Viale dell'Università 32;Universita' statali;Istituto di insegnamento superiore;;False;Roma;110;41,9046508;12,5128861
IT-RM0932;Biblioteca Interdipartimentale di Scienze Ginecologiche, Radiologiche e Urologiche dell'Università degli studi di Roma La Sapienza - sede Urologia;Università degli studi di Roma La Sapienza. Dipartimento di Scienze Ginecologico-Ostetriche e Scienze Urologiche;Viale dell'Università 31;Universita' statali;Istituto di insegnamento superiore;;True;Roma;111;41,9048641;12,5138792
IT-RM0934;Biblioteca del Dipartimento di medicina sperimentale e patologia. Sezione storia della medicina dell'Università degli studi di Roma La Sapienza;Università degli studi di Roma La Sapienza. Dipartimento di medicina sperimentale e patologia. Sezione storia della medicina;Viale dell'Università 34/A;Universita' statali;Istituto di insegnamento superiore;;False;Roma;112;41,9048035;12,5133656
IT-RM0935;"Biblioteca Biologia e Biotecnologie ""Charles Darwin"" dell'Università degli studi di Roma La Sapienza - sede Anatomia Comparata";Università degli studi di Roma La Sapienza. Dipartimento di biologia animale e dell'uomo;Via Alfonso Borelli 50;Universita' statali;Istituto di insegnamento superiore;;False;Roma;113;41,9064199;12,5157301
IT-RM0937;"Biblioteca di Biologia e Biotecnologie ""Charles Darwin"" dell'Università degli studi di Roma La Sapienza- sede via dei Sardi";Università degli studi di Roma La Sapienza. Dipartimento di Biologia e Biotecnologie Charles Darwin;Via dei Sardi 70;Universita' statali;Istituto di insegnamento superiore;True;False;Roma;114;41,8964089;12,5170046000001
IT-RM0941;Biblioteca dell'Istituto di medicina legale e delle asssicurazioni della Facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza;Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia. Istituto di medicina legale e delle assicurazioni;Viale Regina Elena 336;Universita' statali;Istituto di insegnamento superiore;;False;Roma;115;41,9028152;12,5192204
IT-RM0945;Biblioteca del Dipartimento di Pediatria e Neuropsichiatria Infantile dell'Università degli studi di Roma La Sapienza;Università degli studi di Roma La Sapienza. Dipartimento di scienze neurologiche e psichiatriche dell'età evolutiva;Viale Regina Elena, 324;Universita' statali;Istituto di insegnamento superiore;True;False;Roma;116;41,9073715;12,5133419
IT-RM0947;Biblioteca dell'Istituto di virologia della Facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza;Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia. Istituto di virologia;Viale di Porta Tiburtina 28;Universita' statali;Istituto di insegnamento superiore;;False;Roma;117;41,8993251;12,5094239
IT-RM0953;Biblioteca del Dipartimento di Scienze dell'antichità. Sezione di Paletnologia dell'Università di Roma La Sapienza;Università degli studi di Roma La Sapienza. Dipartimento di Scienze dell'Antichità;Via dei Volsci 122;Universita' statali;Istituto di insegnamento superiore;;False;Roma;118;41,9042279;12,5050842
IT-RM0989;Biblioteca di Filosofia dell'Università degli studi di Roma La Sapienza;Università degli studi di Roma La Sapienza. Facoltà di Lettere e Filosofia;Via C. Fea 2;Universita' statali;Istituto di insegnamento superiore;True;False;Roma;119;41,9194718;12,5177184
IT-RM0994;Biblioteca del Dipartimento Istituto Italiano di Studi Orientali dell'Università degli studi di Roma La Sapienza;Università degli studi di Roma La Sapienza. Dipartimento Istituto Italiano di Studi Orientali;Circonvallazione Tiburtina, 4;Universita' statali;Istituto di insegnamento superiore;True;False;Roma;120;41,8971712;12,5196391
IT-RM1010;Biblioteca del Dipartimento di scienze economiche dell'Università degli studi di Roma La Sapienza;Università degli studi di Roma La Sapienza. Dipartimento di scienze economiche;Via Cesalpino 41;Universita' statali;Istituto di insegnamento superiore;;True;Roma;121;41,9097679;12,508556
IT-RM1017;Biblioteca di lingue e letterature straniere moderne dell'Università degli studi di Roma La Sapienza;Facoltà di lettere e filosofia dell'Università degli Studi di Roma La Sapienza;Via Circonvallazione Tiburtina, 4;Universita' statali;Istituto di insegnamento superiore;True;False;Roma;122;41,9031244;12,5197724
IT-RM1023;"Biblioteca di Sanità Pubblica e Malattie Infettive ""Vittorio Del Vecchio"" dell'Università degli studi di Roma La Sapienza - sede Microbiologia di Farmacia";Università degli studi di Roma La Sapienza. Dipartimento di Sanità Pubblica e Malattie Infettive, Facoltà di Farmacia e Medicina;Via Lancisi, 22;Universita' statali;Istituto di insegnamento superiore;False;False;Roma;123;41,9089017;12,5100426
IT-RM1026;Biblioteca interdipartimentale di lingue e letterature straniere. Università degli studi Roma Tre;Università degli studi di Roma Tre. Interdipartimento di lingue e letterature straniere;Via di Castro Pretorio 20;Universita' statali;Istituto di insegnamento superiore;;;Roma;124;41,9014405;12,5052491
IT-RM1027;Biblioteca del Dipartimento di filosofia. Università degli studi Roma Tre;Università degli studi di Roma Tre. Dipartimento di filosofia;Via Magenta 5;Universita' statali;Istituto di insegnamento superiore;;;Roma;125;41,9036486;12,5022765
IT-RM1032;Biblioteca di Comunicazione e Ricerca Sociale dell'Università degli studi di Roma La Sapienza;Università degli studi di Roma La Sapienza. Dipartimento di Comunicazione e Ricerca Sociale;Via Salaria 113;Universita' statali;Istituto di insegnamento superiore;True;False;Roma;126;41,9143672;12,4973084
