;codici-identificativi.isil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;Lat;Long;comune
2257;IT-BO0392;Biblioteca della Fondazione Gramsci Emilia-Romagna;Fondazione Gramsci Emilia-Romagna;Via Mentana 2;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;44.4974498;11.3474571;Bologna
2258;IT-BO0393;Biblioteca dell'Istituto regionale emiliano-romagnolo per i servizi sociali e sanitari, la ricerca applicata e la formazione - IRESS;Istituto regionale emiliano-romagnolo per i servizi sociali e sanitari, la ricerca applicata e la formazione - IRESS scrl;Via Oberdan 29;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;44.4976768;11.3462079;Bologna
2259;IT-BO0394;Biblioteca Franco Anelli del Centro italiano di documentazione speleologica;Società speleologica italiana ONLUS;Via Zamboni 67;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;44.4980787;11.3556076;Bologna
2260;IT-BO0395;Biblioteca dell'Istituto nazionale di apicoltura;Istituto nazionale di apicoltura;Via di Saliceto 80;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;44.524923;11.3500113;Bologna
2261;IT-BO0396;Biblioteca dell'Istituto per la storia del movimento liberale;Istituto per la storia del movimento liberale;Via Malvasia 4;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;44.5015465;11.3293778;Bologna
2262;IT-BO0397;Biblioteca Giuseppe Dossetti;Fondazione per le scienze religiose Giovanni XXIII;Via S. Vitale 114;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;True;False;44.4942188;11.3518204;Bologna
2263;IT-BO0398;Biblioteca dell'Istituto regionale di studi politici A. De Gasperi;;Via Malvasia 6;NON SPECIFICATA;Specializzata;;False;44.5016285;11.3288622;Bologna
2264;IT-BO0399;Biblioteca della Johns Hopkins University. School of advanced international studies. Bologna Center;Johns Hopkins University;Via Belmeloro 11;Istituzioni straniere;Istituto di insegnamento superiore;;False;44.4951009;11.3555916;Bologna
2265;IT-BO0400;Biblioteca de La Famèja Bulgneìsa;Sodalizio La Famèja Bulgneìsa;Via Barberia 11;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;44.4918203;11.3384152;Bologna
2266;IT-BO0401;Biblioteca del Movimento federalista europeo;Movimento federalista europeo;Via Indipendenza 62;NON SPECIFICATA;NON SPECIFICATA;;;44.5013565;11.3444296;Bologna
2267;IT-BO0403;Biblioteca Padre Ambrogio Mazenta;Istituto Collegio San Luigi;Via M. D'Azeglio, 55;Enti ecclesiastici;Importante non specializzata;True;False;44.4884352;11.3396913;Bologna
2268;IT-BO0404;Biblioteca dell'Istituto Carlo Tincani per la ricerca scientifica e la diffusione della cultura;Istituto Carlo Tincani per la ricerca scientifica e la diffusione della cultura;Piazza S. Domenico 3;Accademie, associazioni, fondazioni, istituti (pubblici);Pubblica;;False;44.4900855;11.3444416;Bologna
2269;IT-BO0405;Biblioteca della Fondazione IPSSER  - Istituto Petroniano di Studi Sociali Emilia Romagna;Fondazione Istituto petroniano di studi sociali dell'Emilia-Romagna - IPSSER;Via Riva di Reno, 57;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;44.499109069452;11.3376144317688;Bologna
2270;IT-BO0406;Biblioteca del Club alpino italiano - CAI;Club alpino italiano - CAI. Sezione di Bologna;Via C. Battisti 11/a;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;44.4942593;11.3386473;Bologna
2271;IT-BO0407;Biblioteca della Società Dante Alighieri. Comitato di Bologna;Società Dante Alighieri;Via de' Pignattari 1;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;44.4934812;11.3427305;Bologna
2272;IT-BO0408;Biblioteca della Società medico chirurgica;Società medico chirurgica;Piazza Galvani 1;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;44.4917372;11.3432431;Bologna
2273;IT-BO0409;Biblioteca dell'Archivio di Stato di Bologna;Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Bologna;Piazza de' Celestini 4;Direzione generale Archivi;Specializzata;;True;44.4922289;11.341386;Bologna
2274;IT-BO0410;Biblioteca dell'Istituto regionale ricerca educativa - IRRE;Istituto regionale ricerca educativa - IRRE. Emilia-Romagna;Via U. Bassi 7;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;True;44.4952651;11.3402599;Bologna
2275;IT-BO0411;Biblioteca della Corte di appello di Bologna;Corte di appello di Bologna;Piazza dei Tribunali 4;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;True;44.4883519;11.3435647;Bologna
2276;IT-BO0412;Biblioteca di Archeologia della Soprintendenza Archeologia, belle arti e paesaggio per la città metropolitana di Bologna e le province di Modena, Reggio Emilia e Ferrara;Ministero dei beni e delle attività culturali e del turismo. Soprintendenza Archeologia, belle arti e paesaggio per la città metropolitana di Bologna e le province di Modena, Reggio Emilia e Ferrara;Via Belle Arti 52;Direzione generale archeologia, belle arti e paesaggio;Specializzata;;True;44.497747;11.3527337;Bologna
2277;IT-BO0413;Biblioteca della Soprintendenza archivistica e bibliografica dell'Emilia-Romagna;Ministero dei beni e delle attività culturali e del turismo. Soprintendenza archivistica e bibliografica dell'Emilia-Romagna;Piazza de' Celestini, 4 ;Direzione generale Archivi;Specializzata;;True;44.4920403;11.3414239;Bologna
2278;IT-BO0414;Biblioteca di Architettura della Soprintendenza Archeologia, belle arti e paesaggio per la città metropolitana di Bologna e le province di Modena, Reggio Emilia e Ferrara;Ministero dei beni e delle attività culturali e del turismo. Soprintendenza Archeologia, belle arti e paesaggio per la città metropolitana di Bologna e le province di Modena, Reggio Emilia e Ferrara;Via IV Novembre 5;Direzione generale archeologia, belle arti e paesaggio;Specializzata;;True;44.4940995448445;11.339591124012;Bologna
2279;IT-BO0415;Biblioteca del Polo museale dell'Emilia Romagna;Ministero dei beni e delle attività culturali e del turismo. Polo museale dell'Emilia Romagna;Via Belle Arti 56;Direzione generale Musei;Specializzata;;True;44.4976434;11.3534344;Bologna
2280;IT-BO0416;Biblioteca del Provveditorato agli studi e di quartiere di Bologna;Ministero dell'istruzione, dell'università e della ricerca;Via Dante 3;Presidenza del consiglio dei ministri e ministeri;Importante non specializzata;;True;44.4870129;11.3544659;Bologna
2281;IT-BO0417;Biblioteca dell'Accademia di belle arti;Ministero dell'istruzione, dell'università e della ricerca. Accademia di belle arti;Via Belle arti 54;Presidenza del consiglio dei ministri e ministeri;Specializzata;;True;44.4977206;11.3530214;Bologna
2282;IT-BO0418;Biblioteca dell'Istituto statale d'arte;Ministero dell'istruzione, dell'università e della ricerca;Via Castiglione 36;Presidenza del consiglio dei ministri e ministeri;Specializzata;;False;44.4893104;11.3472858;Bologna
2283;IT-BO0419;Biblioteca del Dipartimento di studi linguistici e orientali dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di studi linguistici e orientali;Via Zamboni 33;Universita' statali;Istituto di insegnamento superiore;;False;44.4969329;11.3523859;Bologna
2284;IT-BO0420;Biblioteca universitaria di Bologna - Sezione Archivio Storico;Università degli studi di Bologna;Via Irnerio 49 - Via Galliera 3;Universita' statali;Istituto di insegnamento superiore;;False;44.4989029651086;11.3534765374344;Bologna
2285;IT-BO0421;Biblioteca centralizzata Gabriele Goidanich della Facoltà di agraria dell'Università degli studi di Bologna;Università degli studi di Bologna. Facoltà di agraria;Via G. Fanin 40;Universita' statali;Istituto di insegnamento superiore;True;False;44.5143399;11.4056096;Bologna
2286;IT-BO0422;Biblioteca autonoma di chimica industriale. Alma Mater Studiorum-Università di Bologna;Alma Mater Studiorum-Università di Bologna. Facoltà di chimica industriale;Viale Risorgimento 4;Universita' statali;Istituto di insegnamento superiore;;False;44.4880019;11.3281779;Bologna
2287;IT-BO0423;Biblioteca di discipline umanistiche ;Università degli studi di Bologna. Facoltà di lettere e filosofia e Facoltà di scienze della formazione;Via Zamboni 36;Universita' statali;Istituto di insegnamento superiore;;False;44.496708;11.351789;Bologna
2288;IT-BO0424;Biblioteca Interdipartimentale di Medicina. Biblioteca Clinica F. B. Bianchi dell'Università  degli studi di Bologna;Università degli studi di Bologna. Facoltà di medicina e chirurgia;Via Giuseppe Massarenti 9;Universita' statali;Istituto di insegnamento superiore;True;False;44.4930011;11.3608254;Bologna
2289;IT-BO0425;Biblioteca interdiipartimentale di medicina. Biblioteca Biomedica dell' Università degli studi di Bologna;Università degli studi di Bologna. Facoltà di medicina e chirurgia;Via Filippo Re, 8;Universita' statali;Istituto di insegnamento superiore;;False;44.4985616;11.3550145;Bologna
2290;IT-BO0426;Biblioteca del Dipartimento delle Arti - DARvipem - Sezione di Arti visive I.B. Supino - Alma Mater Studiorum - Università di Bologna;Università degli studi di Bologna. Dipartimento delle arti visive, performative, mediali;Piazzetta Giorgio Morandi 2;Universita' statali;Istituto di insegnamento superiore;True;False;44.4889138;11.3548589;Bologna
2291;IT-BO0427;Dipartimento di Fisica ed Astronomia DIFA. Biblioteca di Astronomia - Alma Mater Studiorum - Università di Bologna.;Università degli studi di Bologna. Dipartimento di astronomia;Via Ranzani 1;Universita' statali;Istituto di insegnamento superiore;;False;44.5011231;11.3565777;Bologna
2292;IT-BO0428;Fondo librario di Biochimica. Dipartimento di Scienze biomediche e neuromotorie - DIBINEM;Università degli studi di Bologna. Dipartimento di biochimica;Via Irnerio 48;Universita' statali;Istituto di insegnamento superiore;;False;44.4985616;11.3550145;Bologna
2293;IT-BO0429;Biblioteca del Dipartimento di scienze biologiche, geologiche e ambientali Bi.Ge.A. dell'Università degli studi di Bologna. Sezione di Biologia ;Università degli studi di Bologna. Dipartimento di biologia evoluzionistica sperimentale;Via F. Selmi 3;Universita' statali;Istituto di insegnamento superiore;;False;44.4956509;11.3538803;Bologna
2294;IT-BO0430;Biblioteca del Dipartimento di biologia evoluzionistica sperimentale. Sede di botanica dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di biologia evoluzionistica sperimentale;Via Irnerio 42;Universita' statali;Istituto di insegnamento superiore;;False;44.4993646;11.3529214;Bologna
2295;IT-BO0431;Biblioteca del Dipartimento di biologia evoluzionistica sperimentale. Sede di genetica dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di biologia evoluzionistica sperimentale;Via Selmi 1/2;Universita' statali;Istituto di insegnamento superiore;;False;44.4961523;11.354183;Bologna
2296;IT-BO0432;Biblioteca del Dipartimento di biologia evoluzionistica sperimentale. Sede di zoologia dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di biologia evoluzionistica sperimentale;Via F. Selmi 3;Universita' statali;Istituto di insegnamento superiore;;False;44.4956509;11.3538803;Bologna
2297;IT-BO0433;Biblioteca del Dipartimento di chimica Giacomo Ciamician dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di chimica Giacomo Ciamician;Via F. Selmi 2;Universita' statali;Istituto di insegnamento superiore;;False;44.4961627;11.3541469;Bologna
2298;IT-BO0434;Biblioteca del Dipartimento di Ingegneria Civile, Chimica, Ambientale e dei materiali - DICAM - Sezione Terracini - Alma Mater Studiorum - Università di Bologna                                     ;Alma Mater Studiorum - Università di Bologna - Dipartimento di ingegneria civile, ambientale e dei materiali - DICAM - Sezione Terracini;Via Terracini 28;Universita' statali;Istituto di insegnamento superiore;;False;44.5133101;11.3180226;Bologna
2299;IT-BO0436;Biblioteca del Dipartimento di chimica fisica e inorganica dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di chimica fisica e inorganica;Viale Risorgimento 4;Universita' statali;Istituto di insegnamento superiore;;False;44.4880019;11.3281779;Bologna
2300;IT-BO0437;Fondo librario. Dipartimento di chimica industriale e dei materiali dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di chimica industriale e dei materiali;Viale Risorgimento 4;Universita' statali;Istituto di insegnamento superiore;;False;44.4880019;11.3281779;Bologna
2301;IT-BO0438;Fondo librario. Dipartimento di chimica organica Angelo Mangini dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di chimica organica Angelo Mangini;Viale Risorgimento 4;Universita' statali;Istituto di insegnamento superiore;;False;44.4880019;11.3281779;Bologna
2302;IT-BO0439;"Biblioteca ""Giuseppe Testoni"" del Dipartimento di scienze aziendali dell'Università degli studi di Bologna";Università degli studi di Bologna. Dipartimento di scienze aziendali;Piazza Scaravilli 1;Universita' statali;Specializzata;True;False;44.4970877;11.351982;Bologna
2303;IT-BO0440;Biblioteca del Dipartimento di Discipline Economico-Aziendali - Sezione Tecnica. Universita' degli Studi di Bologna;;Piazza Scaravilli 2;NON SPECIFICATA;NON SPECIFICATA;;;44.4972473;11.3524407;Bologna
2304;IT-BO0441;Biblioteca del Dipartimento di Sociologia e Diritto dell'Economia- Sede San Giacomo 3 - Alma Mater Studiorum - Università di Bologna;Università degli studi di Bologna. Dipartimento di discipline giuridiche dell'economia e dell'azienda;Via S. Giacomo 3;Universita' statali;Istituto di insegnamento superiore;;True;44.4969615;11.3538301;Bologna
2305;IT-BO0442;Biblioteca del Dipartimento di Storia Culture Civiltà - DISCI - Scienze del Moderno, Storia, Istituzioni, Pensiero Politico;Università di Bologna. Dipartimento di discipline storiche;Piazza S. Giovanni in Monte 2;Universita' statali;Istituto di insegnamento superiore;True;False;44.4909205;11.3483657;Bologna
2306;IT-BO0443;"Biblioteca Interdipartimentale di Ingegneria e Architettura. Biblioteca di Ingegneria ""Gian Paolo Dore"" (DEI)";Università degli studi di Bologna. Dipartimento di elettronica, informatica e sistemistica;Via del Risorgimento 2;Universita' statali;Istituto di insegnamento superiore;;;44.4882503;11.3282958;Bologna
2307;IT-BO0444;Biblioteca del Dipartimento di filologia classica e medioevale dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di filologia classica e medioevale;Via Zamboni 32;Universita' statali;Istituto di insegnamento superiore;;True;44.4964972;11.3512531;Bologna
2308;IT-BO0445;Biblioteca del Dipartimento di Filosofia e Comunicazione - Sede Via Zamboni 38 - Alma Mater Studiorum - Università di Bologna;Università degli studi di Bologna. Dipartimento di filosofia;Via Zamboni 38;Universita' statali;Istituto di insegnamento superiore;True;False;44.4968084;11.3520389;Bologna
2309;IT-BO0446;Biblioteca del Dipartimento di Fisica ed Astronomia DIFA. Biblioteca di Fisica. Alma MaterStudiorum -  Università di Bologna;Università degli studi di Bologna. Dipartimento di fisica;Via Irnerio 46;Universita' statali;Istituto di insegnamento superiore;;False;44.4988472;11.3538836;Bologna
2310;IT-BO0447;Biblioteca del Dipartimento di fisica. Settore di geofisica dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di fisica. Settore di geofisica;Viale C. Berti Pichat 8;Universita' statali;Istituto di insegnamento superiore;;False;44.5004413;11.3564299;Bologna
2311;IT-BO0448;Biblioteca del Dipartimento di scienze della terra e geologico-ambientali. Discipline geografiche e ambientali dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di scienze della terra e geologico-ambientali;Via Zamboni 67;Universita' statali;Istituto di insegnamento superiore;;False;44.4980787;11.3556076;Bologna
2312;IT-BO0449;"Biblioteca Interdipartimentale di Ingegneria e Architettura. Biblioteca ""Franco P. Foraboschi"" (DICAM)";Università degli studi di Bologna. Dipartimento di ingegneria chimica, mineraria e delle tecnologie ambientali;Via Terracini, 28;Universita' statali;Istituto di insegnamento superiore;True;False;44.515842;11.3207435;Bologna
2313;IT-BO0450;"Biblioteca Interdipartimentale di Ingegneria e Architettura. Biblioteca di Ingegneria ""Gian Paolo Dore"" (DIEM - DIN)";Università degli studi di Bologna. Dipartimento di ingegneria delle costruzioni meccaniche, nucleari, aeronautiche e di metallurgia;;Universita' statali;Istituto di insegnamento superiore;;;44.4882503;11.3282958;Bologna
2314;IT-BO0451;Biblioteca del Dipartimento di Filologia classica e Italianistica Alma Mater Studiorum - Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di italianistica;Via Zamboni 32;Universita' statali;Istituto di insegnamento superiore;;False;44.4964972;11.3512531;Bologna
2315;IT-BO0452;Biblioteca del Dipartimento di lingue, letterature e culture moderne Lilec - Alma Mater Studiorum - Università di Bologna;Università degli studi di Bologna. Dipartimento di lingue e letterature straniere moderne;Via Cartoleria, 5;Universita' statali;Istituto di insegnamento superiore;True;False;44.4897718;11.3492785;Bologna
2316;IT-BO0453;Biblioteca del Dipartimento di matematica - Alma Mater Studiorum - Università di Bologna;Università degli studi di Bologna. Dipartimento di matematica;Piazza di Porta S. Donato 5;Universita' statali;Istituto di insegnamento superiore;;False;44.4981393;11.3559198;Bologna
2317;IT-BO0454;Biblioteca del Dipartimento di matematica. Fondo Bortolotti dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di matematica;Piazza di Porta S. Donato 5;Universita' statali;Istituto di insegnamento superiore;;;44.4981393;11.3559198;Bologna
2318;IT-BO0455;Biblioteca del Dipartimento delle Arti - DAR - Sezione di Musica e Spettacolo - Alma Mater Studiorum - Università di Bologna;Dipartimento delle Arti - Alma mater studiorum - Università di Bologna;Via Barberia 4;Universita' statali;Istituto di insegnamento superiore;True;False;44.4915344;11.3392249;Bologna
2319;IT-BO0456;Biblioteca del Dipartimento di Scienza Politica dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di organizzazione e sistema politico;Via dei Bersaglieri, 6/c;Universita' statali;Istituto di insegnamento superiore;True;;44.4913406;11.3539654;Bologna
2320;IT-BO0457;Biblioteca del Dipartimento di Storia Culture Civiltà - DISCI - Medievistica;Università degli studi di Bologna. Dipartimento di paleografia e medievistica;Piazza S. Giovanni in Monte 2;Universita' statali;Istituto di insegnamento superiore;;True;44.4909205;11.3483657;Bologna
2321;IT-BO0458;Biblioteca del Dipartimento di paleografia e medievistica. Sezione di paleografia e diplomatica dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di paleografia e medievistica;Via Centotrecento 18;Universita' statali;Istituto di insegnamento superiore;;True;44.4987906;11.3508778;Bologna
2322;IT-BO0459;Fondo librario di Patologia Sperimentale. Dipartimento di Medicina specialistica, diagnostica e sperimentale - DIMES;Università degli studi di Bologna. Dipartimento di patologia sperimentale;Via S. Giacomo 14;Universita' statali;Istituto di insegnamento superiore;;False;44.4963112;11.3560103;Bologna
2323;IT-BO0460;Biblioteca del Dipartimento di patologia sperimentale. Sezione di microbiologia e virologia dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di patologia sperimentale;Via S. Giacomo 12;Universita' statali;Istituto di insegnamento superiore;;False;44.4966207;11.355012;Bologna
2324;IT-BO0461;Biblioteca Nicola Matteucci del Dipartimento di Scienze Politiche e Sociali dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di scienze politiche e sociali;Strada Maggiore 45;Universita' statali;Istituto di insegnamento superiore;True;False;44.4912756;11.3539628999999;Bologna
2325;IT-BO0463;Biblioteca del Centro sperimentale di patologia per la conservazione e la trasformazione degli ortoflorofrutticoli - CRIOF. Sede di Cadriano dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di protezione e valorizzazione agroalimentare;Via Gandolfi 19;Universita' statali;Istituto di insegnamento superiore;;False;44.5485465;11.4099496;Bologna
2326;IT-BO0464;"Biblioteca ""Silvana Contento"" del Dipartimento di Psicologia ";Università degli studi di Bologna. Dipartimento di psicologia;Via Filippo Re 10;Universita' statali;Istituto di insegnamento superiore;True;False;44.4995282;11.3546173;Bologna
2327;IT-BO0465;Biblioteca di Scienze dell'Educazione Mario Gattullo - Alma Mater Studiorum Università di Bologna;Alma Mater Studiorum Università di Bologna. Dipartimento di scienze dell'educazione;Via Filippo Re, 6;Universita' statali;Istituto di insegnamento superiore;True;False;44.4995282;11.3546173;Bologna
2328;IT-BO0466;Biblioteca del Dipartimento di scienze economiche dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di scienze economiche;Strada Maggiore 45;Universita' statali;Istituto di insegnamento superiore;;False;44.4913406;11.3539654;Granarolo dell'Emilia
2329;IT-BO0467;Biblioteca del Dipartimento di scienze economiche. Sezione finanza dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di scienze economiche;Piazza Scaravilli 2;Universita' statali;Istituto di insegnamento superiore;;;44.4972473;11.3524407;Bologna
2330;IT-BO0468;Biblioteca del Dipartimento di Farmacia e Biotecnologie - FaBiT - Alma Mater Studiorum Università di Bologna;Alma Mater Studiorum - Università di Bologna - Dipartimento di Farmacia e Biotecnologie FaBiT;Via Belmeloro 6;Universita' statali;Istituto di insegnamento superiore;True;False;44.495193;11.3552822;Bologna
2331;IT-BO0469;Biblioteca del Dipartimento di scienze della terra e geologico-ambientali. Discipline geologiche e paleontologiche dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di scienze della terra e geologico-ambientali;Via Zamboni 67;Universita' statali;Istituto di insegnamento superiore;;False;44.4980787;11.3556076;Bologna
2332;IT-BO0470;Biblioteca del Dipartimento di scienze della terra e geologico-ambientali. Discipline mineralogiche e petrografiche dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di scienze della terra e geologico-ambientali;Piazza di Porta S. Donato 1;Universita' statali;Istituto di insegnamento superiore;;False;44.498167;11.3559222;Bologna
2333;IT-BO0471;Biblioteca del Dipartimento di Scienze Statistiche Paolo Fortunati - Alma Mater Studiorum - Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di scienze statistiche Paolo Fortunati;Via Belle Arti 41;Universita' statali;Istituto di insegnamento superiore;True;False;44.4977751;11.3521248;Bologna
2334;IT-BO0472;Biblioteca del Dipartimento di Sociologia e Diritto dell'Economia - sede Strada Maggiore 45 - Alma Mater Studiorum - Università di Bologna;Università degli studi di Bologna. Dipartimento di sociologia;Strada Maggiore 45;Universita' statali;Istituto di insegnamento superiore;;False;44.4913406;11.3539654;Bologna
2335;IT-BO0473;Biblioteca del Dipartimento di storia antica dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di storia antica;Via Zamboni 38;Universita' statali;Istituto di insegnamento superiore;;False;44.4968084;11.3520389;Bologna
2336;IT-BO0474;Biblioteca del Centro interfacoltà di linguistica teorica e applicata - CILTA dell'Università degli studi di Bologna;Università degli studi di Bologna;Piazza S. Giovanni in Monte 4;Universita' statali;Istituto di insegnamento superiore;;True;44.4907866;11.347736;Bologna
2337;IT-BO0475;Biblioteca dell'Istituto di genio rurale della Facoltà di agraria dell'Università degli studi di Bologna;Università degli studi di Bologna. Facoltà di Agraria. Istituto di Genio    urale;Via Filippo Re 4;Universita' statali;Istituto di insegnamento superiore;;True;44.4995282;11.3546173;Bologna
2338;IT-BO0476;Biblioteca dell'Istituto di Meccanica Agraria. Facolta' di Agraria. Universita' degli Studi di Bologna;;Via Gandolfi 19;NON SPECIFICATA;NON SPECIFICATA;;;44.5485465;11.4099496;Bologna
2339;IT-BO0477;Biblioteca del Dipartimento di matematica per le scienze economiche e sociali dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di matematica per le scienze economiche e sociali;Viale Filopanti 5;Universita' statali;Istituto di insegnamento superiore;;False;44.4965847;11.3566656;Bologna
2340;IT-BO0478;Fondo librario. Dipartimento SMETEC.  Sezione di scienze chimiche Facoltà di chimica industriale dell'Università degli studi di Bologna;Università degli studi di Bologna. Facoltà di chimica industriale. Unità complessa di scienze chimiche, radiochimiche e metallurgiche;Via S. Donato 15;Universita' statali;Istituto di insegnamento superiore;;False;44.498919;11.357894;Bologna
2341;IT-BO0479;Biblioteca Giuridica Antonio Cicu - D.S.G. - Sede di via Belmeloro 10 (SPISA);Università degli studi di Bologna. Scuola di specializzazione in studi sull'amministrazione pubblica;Belmeloro 10;Universita' statali;Istituto di insegnamento superiore;;True;44.4954806;11.3549618;Granarolo dell'Emilia
2342;IT-BO0480;Biblioteca della Scuola di specializzazione in diritto amministrativo e scienze dell'amministrazione della Facoltà di giurisprudenza dell'Università degli studi di Bologna;Università degli studi di Bologna. Facoltà di giurisprudenza. Scuola di specializzazione in diritto amministrativo e scienze dell'amministrazione;Via S. Stefano 43;Universita' statali;Istituto di insegnamento superiore;;True;44.4898856;11.3503967;Bologna
2343;IT-BO0481;Biblioteca dell'Istituto di elettrotecnica industriale della Facoltà di ingegneria dell'Università degli studi di Bologna;Università degli studi di Bologna. Facoltà di ingegneria. Istituto di elettrotecnica industriale;Viale Risorgimento 2;Universita' statali;Istituto di insegnamento superiore;;True;44.4882503;11.3282958;Bologna
2344;IT-BO0482;Biblioteca del Laboratorio di ingegneria nucleare di Montecuccolino della  Facoltà di ingegneria dell'Università degli studi di Bologna;;Via dei Colli 16;NON SPECIFICATA;NON SPECIFICATA;;;44.4625182;11.3263196;Bologna
2345;IT-BO0483;Biblioteca del Dipartimento di Filosofia e Comunicazione - Sede Via Azzo Gardino 23 - Alma Mater Studiorum - Università di Bologna;Università degli studi di Bologna. Dipartimento di discipline della comunicazione;Via Azzo Gardino 23;Universita' statali;Istituto di insegnamento superiore;True;True;44.5005359;11.3376253;Bologna
2346;IT-BO0484;Biblioteca dell'Istituto di anestesiologia e rianimazione della Facoltà di medicina e chirurgia dell'Università degli studi di Bologna;Università degli studi di Bologna. Facoltà di medicina e chirurgia. Istituto di anestesiologia e rianimazione;Via Massarenti 9, presso Policlinico S. Orsola;Universita' statali;Istituto di insegnamento superiore;;True;44.492819;11.361305;Bologna
2347;IT-BO0485;Biblioteca di cancerologia dell'Unità complessa degli Istituti di cardiologia, ematologia e cancerologia della Facoltà di medicina e chirurgia dell'Università degli studi di Bologna;Università degli studi di Bologna. Facoltà di medicina e chirurgia;Viale Filopanti 22;Universita' statali;Istituto di insegnamento superiore;;True;44.4947419;11.357116;Bologna
2348;IT-BO0486;Biblioteca Leonardo Possati del Dipartimento di discipline chirurgiche, rianimatorie e dei trapianti Anton Maria Valsalva dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di discipline chirurgiche, rianimatorie e dei trapianti Anton Maria Valsalva;Via Massarenti 9;Universita' statali;Istituto di insegnamento superiore;;False;44.4930011;11.3608254;Bologna
2349;IT-BO0487;Biblioteca Martinotti del Dipartimento di medicina clinica specialistica e sperimentale. Sezione di dermatologia dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di medicina clinica specialistica e sperimentale;Via Massarenti 1;Universita' statali;Istituto di insegnamento superiore;;;44.4930797;11.3772582;Bologna
2350;IT-BO0488;Biblioteca del Dipartimento di scienze neurologiche dell'Università degli studi di Bologna;Università degli studi di Bologna. Dipartimento di scienze neurologiche;Via U. Foscolo 7;Universita' statali;Istituto di insegnamento superiore;;True;44.4918494;11.3300105;Bologna
2351;IT-BO0489;Biblioteca di Clinica Urologica. Facolta' di Medicina e Chirurgia. Universita' degli Studi di Bologna;;Via Massarenti 9;NON SPECIFICATA;NON SPECIFICATA;;;44.4930011;11.3608254;Bologna
2352;IT-BO0490;Biblioteca dell'Istituto di ematologia e oncologia Lorenzo e Ariosto Seragnoli della Facoltà di medicina e chirurgia dell'Università degli studi di Bologna;Università degli studi di Bologna. Facoltà di medicina e chirurgia. Istitutoto di ematologia e oncologia Lorenzo e Ariosto Seragnoli;Via Massarenti 9;Universita' statali;Istituto di insegnamento superiore;;False;44.4930011;11.3608254;Bologna
2353;IT-BO0491;Biblioteca di cardiologia dell'Unità complessa degli Istituti di cardiologia, ematologia e cancerologia della Facoltà di medicina e chirurgia dell'Università degli studi di Bologna;Università degli studi di Bologna. Facoltà di medicina e chirurgia;Via Massarenti 9;Universita' statali;Istituto di insegnamento superiore;;True;44.4930011;11.3608254;Bologna
