;codici-identificativi.isil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;Lat;Long;comune
14167;IT-RO0029;BIBLIOTECA COMUNALE DI GUARDA VENETA;UNIONE DEI COMUNI DELL'ERIDANO;VIA S. PERTINI;Unione di Comuni;Pubblica;True;False;0.0;0.0;Montegridolfo
14168;IT-RO0030;Biblioteca dei frati Cappuccini;Frati minori Cappuccini. Convento di Lendinara;Via S. Francesco 17;Enti ecclesiastici;Specializzata;;False;45.0862159;11.5983921;Morciano di Romagna
14169;IT-RO0031;BIBLIOTECA COMUNALE DI LENDINARA 'GAETANO BACCARI';COMUNE DI LENDINARA;VIA GIAMBATTISTA CONTI, 30;Comune;Pubblica;True;False;45.08332;11.59694;Poggio Berni
14170;IT-RO0033;BIBLIOTECA COMUNALE DI LOREO;Comune di Loreo;CALLE SAN MARCO, 11;Comune;Pubblica;True;False;45.0632144;12.1893755;Rimini
14171;IT-RO0034;BIBLIOTECA COMUNALE DI LUSIA;Comune di Lusia;VIA DANTE ALIGHIERI;Comune;Pubblica;False;False;45.0985943;11.6627746;Rimini
14172;IT-RO0035;BIBLIOTECA COMUNALE DI MELARA 'D.TINTI';COMUNE DI MELARA;VIA G.GARIBALDI, 94;Comune;Pubblica;False;False;45.0630369;11.196463;Rimini
14173;IT-RO0037;BIBLIOTECA COMUNALE DI OCCHIOBELLO;COMUNE DI OCCHIOBELLO;VIA MARTIN LUTHER KING, 1/B - SANTA MARIA MADDALENA;Comune;Pubblica;True;False;44.9005117;11.609163;Saludecio
14174;IT-RO0038;BIBLIOTECA COMUNALE DI PAPOZZE;Comune di Papozze;VIA MARIO BONAMICO, 8;Comune;Pubblica;False;False;44.9866992;12.030862;San Clemente
14175;IT-RO0039;BIBLIOTECA COMUNALE DI PINCARA;Comune di Pincara;VIA ADELINO MAREGA;Comune;Pubblica;;False;44.9929946;11.6114931;Verucchio
14176;IT-RO0041;BIBLIOTECA COMUNALE DI PONTECCHIO POLESINE;COMUNE DI PONTECCHIO POLESINE;VIA ROMA, 310;Comune;Pubblica;True;False;45.0189733;11.8120439;Bellaria-Igea Marina
14177;IT-RO0042;Biblioteca del Seminario vescovile San Pio X;Seminario Vescovile San Pio X;via G. Sichirollo, 74;Enti ecclesiastici;Importante non specializzata;True;False;45.0650579;11.792735;Montescudo- Monte Colombo
