IDquartiere;quartiere;indice_stranieri;perc_europei;perc_africa;perc_america;perc_asia;perc_oceania;indice_vecchiaia;indice_vecchiaia_uomo;indice_vecchiaia_donna;indice_pop_attiva;indice_pop_attiva_donna
64;TRENNO;0.04215399610136452;0.2254335260115607;0.36416184971098264;0.18497109826589594;0.2254335260115607;0.0;2.1848552338530065;1.9465020576131686;2.466019417475728;1.3385964912280701;1.9025974025974026
65;GALLARATESE;0.06101780210102535;0.2675257731958763;0.17216494845360825;0.29020618556701033;0.26958762886597937;0.0005154639175257732;3.2661498708010335;2.6423398328690806;3.9295023696682465;1.5204980261160037;1.7043532727842154
66;QT 8;0.07605052848672338;0.2542372881355932;0.09830508474576272;0.23728813559322035;0.4101694915254237;0.0;2.277083333333333;1.6978723404255318;2.83265306122449;1.4863636363636363;1.595289079229122
67;PORTELLO;0.07491812227074236;0.2896174863387978;0.06557377049180328;0.30418943533697634;0.3406193078324226;0.0;2.4602076124567476;1.854978354978355;3.1506172839506172;1.4058479532163743;1.5205327413984462
68;PAGANO;0.08270676691729323;0.37272727272727274;0.058333333333333334;0.19545454545454546;0.36893939393939396;0.004545454545454545;1.575769854132901;1.2135697764070932;1.976942783945346;1.5450372920252438;1.5757726819541376
69;SARPI;0.14012550756736802;0.19125395152792413;0.059799789251844045;0.14093782929399368;0.6074815595363541;0.0005268703898840885;1.674269819193324;1.2753938077131994;2.0929304446978336;1.2403609515996719;1.3051899677179042
70;GHISOLFA;0.12962498432208705;0.1683599419448476;0.10982099661344945;0.2312530237058539;0.49056603773584906;0.0;1.845204178537512;1.3678990081154192;2.376128385155466;1.2921294060840174;1.4039704524469068
71;VILLAPIZZONE;0.2465036921011412;0.13094292522410075;0.17769204584137072;0.20617269942130942;0.4851923295132191;0.0;1.727120067170445;1.2150452934226073;2.311460674157303;1.1541825095057034;1.2694598888006354
72;MAGGIORE - MUSOCCO;0.10816777041942605;0.19795918367346937;0.17142857142857143;0.38571428571428573;0.24489795918367346;0.0;2.06872852233677;1.806228373702422;2.3276450511945392;1.2343234323432344;1.4048442906574394
73;CASCINA TRIULZA - EXPO;0.028112449799196786;0.0;0.2857142857142857;0.7142857142857143;0.0;0.0;0.4;0.625;0.14285714285714285;1.3116883116883118;0.8518518518518519
74;SACCO;0.16666666666666666;0.17073170731707318;0.04878048780487805;0.24390243902439024;0.5365853658536586;0.0;1.3333333333333333;1.4375;1.2352941176470589;1.2619047619047619;1.8461538461538463
75;STEPHENSON;0.17307692307692307;0.0;0.0;0.0;1.0;0.0;3.6666666666666665;2.5;6.0;2.0;1.4285714285714286
76;QUARTO OGGIARO;0.17564028434406992;0.12296669248644462;0.2511618900077459;0.17389620449264137;0.45178156467854375;0.00019364833462432224;1.78125;1.3112709832134293;2.2929503916449088;1.2971051295073641;1.4302264349657714
77;BOVISA;0.264952687020175;0.13679245283018868;0.23753369272237196;0.19339622641509435;0.43194070080862534;0.00033692722371967657;1.5788742182070883;1.1927710843373494;1.995664739884393;0.9572519083969465;1.1839424805272618
78;FARINI;0.2676659528907923;0.11314285714285714;0.2377142857142857;0.1462857142857143;0.5017142857142857;0.001142857142857143;1.4529262086513994;1.225130890052356;1.6683168316831682;1.016778523489933;1.0811320754716982
79;DERGANO;0.2676548880421734;0.11368954758190328;0.1953978159126365;0.1936427457098284;0.4970748829953198;0.0001950078003120125;1.371345029239766;1.0975438596491227;1.6689549961861174;1.0169230769230768;1.2485294117647059
80;AFFORI;0.23068224651338107;0.14460784313725492;0.14419934640522875;0.1881127450980392;0.5206290849673203;0.0024509803921568627;1.5118451785118452;1.1888604353393086;1.8634146341463416;1.0991458206223308;1.197678168332796
81;BOVISASCA;0.10299758488421651;0.23310344827586207;0.23586206896551723;0.2979310344827586;0.23310344827586207;0.0;2.14614499424626;1.7580645161290323;2.533333333333333;1.3475336322869955;1.4759238521836506
82;COMASINA;0.2636758983749142;0.16319444444444445;0.15104166666666666;0.1996527777777778;0.4861111111111111;0.0;1.4237668161434978;1.0158273381294964;1.864696734059098;1.1079847908745246;1.1662688941925219
83;BRUZZANO;0.1374125874125874;0.24491094147582698;0.21755725190839695;0.2811704834605598;0.25636132315521626;0.0;1.8380041011619959;1.4918032786885247;2.2477611940298505;1.1789473684210525;1.325107958050586
84;PARCO NORD;0.14432989690721648;0.5;0.07142857142857142;0.0;0.42857142857142855;0.0;0.9285714285714286;1.25;0.8;0.8421052631578947;0.75
85;PARCO DELLE ABBAZIE;0.4162303664921466;0.9182389937106918;0.006289308176100629;0.031446540880503145;0.0440251572327044;0.0;0.3333333333333333;0.2978723404255319;0.3673469387755102;0.5454545454545454;0.6388888888888888
86;PARCO DEI NAVIGLI;0.15693430656934307;0.6744186046511628;0.18604651162790697;0.06976744186046512;0.06976744186046512;0.0;0.5686274509803921;0.37037037037037035;0.7916666666666666;0.8;1.0476190476190477
87;PARCO AGRICOLO SUD;0.11450381679389313;0.7333333333333333;0.0;0.13333333333333333;0.13333333333333333;0.0;0.5636363636363636;0.5416666666666666;0.5806451612903226;0.7692307692307693;0.9534883720930233
88;PARCO BOSCO IN CITT�;0.4602368866328257;0.6360294117647058;0.16911764705882354;0.04411764705882353;0.15073529411764705;0.0;0.4365079365079365;0.3939393939393939;0.48333333333333334;0.5095541401273885;0.8602150537634409
