,AgeGroup.Newborn,AgeGroup.ChildPrimary,AgeGroup.ChildMid,AgeGroup.ChildHigh,AgeGroup.Young,AgeGroup.Junior,AgeGroup.Senior,AgeGroup.Over50,AgeGroup.Over65,AgeGroup.Over80
PADOVA,0.0,1.3167646163034543,0.6950994730694124,1.517055864813169,0.0,0.0,0.0,0.0,0.0,0.0
EX OM - MORIVIONE,0.0,1.1443966752504975,0.9926226471541528,0.9442321875582551,0.0,0.0,0.0,0.0,0.0,0.0
ADRIANO,0.0,0.5528338131406197,0.1634924079174298,0.26004034550072286,0.0,0.0,0.0,0.0,0.0,0.0
FARINI,0.0,0.9065508079455045,0.525263531318449,0.7892375175666506,0.0,0.0,0.0,0.0,0.0,0.0
UMBRIA - MOLISE,0.0,1.1376012403038365,0.7751318585930465,1.665780734729476,0.0,0.0,0.0,0.0,0.0,0.0
TRIULZO SUPERIORE,0.0,0.6524649109961032,0.4212004300990424,0.02621254294512165,0.0,0.0,0.0,0.0,0.0,0.0
CORSICA,0.0,1.3595173095860644,1.056044107875727,1.362964134654321,0.0,0.0,0.0,0.0,0.0,0.0
CITTA' STUDI,0.0,1.4757095343774955,1.114710367806912,1.5335427434663556,0.0,0.0,0.0,0.0,0.0,0.0
SELINUNTE,0.0,1.3064052498743395,0.8376263090788904,1.3076551107722112,0.0,0.0,0.0,0.0,0.0,0.0
PARCO MONLUE' - PONTE LAMBRO,0.0,0.3628655287326819,0.1850095359369607,0.283293666458619,0.0,0.0,0.0,0.0,0.0,0.0
NIGUARDA - CA' GRANDA,0.0,1.0756819562570494,0.646587580498693,0.636757602692019,0.0,0.0,0.0,0.0,0.0,0.0
STADERA,0.0,0.9729917941369907,0.6927403632626324,1.4161660778131606,0.0,0.0,0.0,0.0,0.0,0.0
GUASTALLA,0.0,1.5729530848754885,1.558445688361089,2.4653130580691625,0.0,0.0,0.0,0.0,0.0,0.0
BRERA,0.0,0.9644311591915294,0.6725109588636656,1.4046805234991486,0.0,0.0,0.0,0.0,0.0,0.0
DUOMO,0.0,1.202494065992974,1.0590247476795271,1.8485911473480146,0.0,0.0,0.0,0.0,0.0,0.0
SCALO ROMANA,0.0,0.8865174283366645,0.4088432499641423,0.7887580847201937,0.0,0.0,0.0,0.0,0.0,0.0
MAGENTA - S. VITTORE,0.0,1.7360858820663525,1.4378723802645819,2.212165731198835,0.0,0.0,0.0,0.0,0.0,0.0
BOVISASCA,0.0,0.7194050458857524,0.5912725763325495,1.3819344131567854,0.0,0.0,0.0,0.0,0.0,0.0
LODI - CORVETTO,0.0,1.0352975330006207,0.6925276288399229,0.6905432078870672,0.0,0.0,0.0,0.0,0.0,0.0
LAMBRATE,0.0,0.6977601882316329,0.5241448334416619,1.135963962823164,0.0,0.0,0.0,0.0,0.0,0.0
BARONA,0.0,0.9169462441163646,0.686885590155963,0.32287490297445026,0.0,0.0,0.0,0.0,0.0,0.0
BRUZZANO,0.0,1.0770869573897563,0.7711876285370495,0.5612577480325022,0.0,0.0,0.0,0.0,0.0,0.0
TRENNO,0.0,0.6618746285533843,0.3879600277401404,0.5452063998724052,0.0,0.0,0.0,0.0,0.0,0.0
GRATOSOGLIO - TICINELLO,0.0,0.7397892362639303,0.4400665468455209,0.6835946403935913,0.0,0.0,0.0,0.0,0.0,0.0
FIGINO,0.0,0.5852773956766908,0.2600202978609976,0.010895008070147288,0.0,0.0,0.0,0.0,0.0,0.0
